,word,lemma
0,I,I
1,never,never
2,called,call
3,racist,racist
4,life,life
5,believe,believ
6,ever,ever
7,When,when
8,people,peopl
9,especially,especi
10,men,men
11,accused,accus
12,vehemently,vehement
13,exclaim,exclaim
14,But,but
15,friends,friend
16,black,black
17,This,thi
18,may,may
19,well,well
20,true,true
21,assured,assur
22,act,act
23,stereotypically,stereotyp
24,white,white
25,average,averag
26,could,could
27,almost,almost
28,say,say
29,fall,fall
30,category,categori
31,Two,two
32,mine,mine
33,sort,sort
34,They,they
35,normal,normal
36,midwestern,midwestern
37,accents,accent
38,wear,wear
39,shirts,shirt
40,clothes,cloth
41,find,find
42,mall,mall
43,etc,etc
44,Lastly,lastli
45,extreme,extrem
46,public,public
47,courtesy,courtesi
48,The,the
49,editor,editor
50,Chicago,chicago
51,Tribune,tribun
52,comments,comment
53,urlLink,urllink
54,lack,lack
55,blacks,black
56,By,By
57,way,way
58,also,also
59,Does,doe
60,agreeing,agre
61,make,make
62,No,No
63,equally,equal
64,discriminate,discrimin
65,anyone,anyon
66,pisses,piss
