,word,lemma
0,yeah,yeah
1,beat,beat
2,lakers,laker
3,crazy,crazi
4,eh,eh
5,want,want
6,know,know
7,watched,watch
8,game,game
9,tonight,tonight
10,pretty,pretti
11,fun,fun
12,night,night
13,started,start
14,little,littl
15,party,parti
16,became,becam
17,bigger,bigger
18,ended,end
19,huge,huge
20,drunk,drunk
21,well,well
22,course,cours
23,point,point
24,last,last
25,royal,royal
26,oak,oak
27,middle,middl
28,riot,riot
29,police,polic
30,horses,hors
31,yelling,yell
32,us,us
33,stay,stay
34,sidewalk,sidewalk
35,tad,tad
36,obnoxious,obnoxi
37,hey,hey
38,kind,kind
39,use,use
40,things,thing
41,world,world
42,war,war
43,III,iii
44,grabbed,grab
45,something,someth
46,eat,eat
47,met,met
48,couple,coupl
49,people,peopl
50,went,went
51,downtown,downtown
52,rochester,rochest
53,another,anoth
54,fucking,fuck
55,atmosphere,atmospher
56,though,though
57,going,go
58,house,hous
59,partying,parti
60,great,great
61,still,still
62,strong,strong
63,june,june
64,5th,5th
65,2005,2005
66,good,good
67,morning,morn
