,word,lemma
0,urlLink,urllink
1,The,the
2,OMEGA,omega
3,File,file
4,This,thi
5,file,file
6,contains,contain
7,intricate,intric
8,intimate,intim
9,details,detail
10,global,global
11,conspiracy,conspiraci
12,seems,seem
13,rooted,root
14,alien,alien
15,military,militari
16,industrial,industri
17,collaboration,collabor
18,intent,intent
19,bringing,bring
20,freedom,freedom
21,loving,love
22,peoples,peopl
23,world,world
24,control,control
25,implementation,implement
26,government,govern
27,commonly,commonli
28,referred,refer
29,New,new
30,World,world
31,Order,order
32,via,via
