,word,lemma
0,ONLY,onli
1,STARTS,start
2,In,In
3,fear,fear
4,flight,flight
5,choices,choic
6,breeze,breez
7,chance,chanc
8,opportunities,opportun
9,tease,teas
10,voices,voic
11,never,never
12,echo,echo
13,open,open
14,door,door
15,closed,close
16,passers,passer
17,Single,singl
18,light,light
19,switch,switch
20,socket,socket
21,pulsating,pulsat
22,electric,electr
23,puzzle,puzzl
24,writhing,writh
25,like,like
26,tommorow,tommorow
27,procrastination,procrastin
28,finely,fine
29,tuned,tune
30,recital,recit
31,Mars,mar
32,coming,come
33,closer,closer
34,earth,earth
35,could,could
36,mean,mean
37,something,someth
38,wrong,wrong
39,The,the
40,planets,planet
41,rarely,rare
42,align,align
43,despair,despair
44,disasters,disast
45,yet,yet
46,come,come
47,More,more
48,wished,wish
49,energy,energi
50,vacuum,vacuum
51,worlds,world
52,pennies,penni
53,buying,buy
54,nothing,noth
55,days,day
56,Paint,paint
57,mess,mess
58,thought,thought
59,made,made
60,life,life
61,Pull,pull
62,protective,protect
63,vinyl,vinyl
64,cover,cover
65,suits,suit
66,end,end
67,starts,start
