,word,lemma
0,What,what
1,urlLink,urllink
2,You,you
3,Blogging,blog
4,view,view
5,The,the
6,first,first
7,time,time
8,heard,heard
9,term,term
10,thing,thing
11,came,came
12,mind,mind
13,two,two
14,men,men
15,Kerela,kerela
16,Gogonet,gogonet
17,tree,tree
18,one,one
19,saying,say
20,blogging,blog
21,However,howev
22,means,mean
23,something,someth
24,totally,total
25,different,differ
26,reading,read
27,blog,blog
28,views,view
29,changing,chang
30,How,how
31,many,mani
32,us,us
33,actually,actual
34,willing,will
35,let,let
36,go,go
37,opinions,opinion
38,accept,accept
39,new,new
40,ones,one
41,read,read
42,strongly,strongli
43,believed,believ
44,This,thi
45,like,like
46,writing,write
47,personal,person
48,diary,diari
49,everyone,everyon
50,I,I
51,always,alway
52,thought,thought
53,write,write
54,people,peopl
55,desperate,desper
56,someone,someon
57,picks,pick
58,reads,read
59,saves,save
60,It,It
61,cry,cri
62,help,help
63,poor,poor
64,recluses,reclus
65,introverts,introvert
66,And,and
67,made,made
68,rule,rule
69,thou,thou
70,shall,shall
71,obviously,obvious
72,attracted,attract
73,diaries,diari
74,So,So
75,turning,turn
76,hopeless,hopeless
77,recluse,reclus
78,hope,hope
79,tend,tend
80,drift,drift
81,away,away
82,think,think
83,gives,give
84,chance,chanc
85,increase,increas
86,scope,scope
87,discussion,discuss
88,Anyways,anyway
89,Link,link
