,Rooms,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Propertycount,Price
1629,3,13.0,3046.0,2.0,2.0,212.0,129.0,2010.0,-37.7073,144.9277,8870.0,550000.0
1200,3,13.9,3108.0,1.0,2.0,109.0,120.0,2001.0,-37.7749,145.1138,9028.0,751800.0
5767,1,2.1,3065.0,1.0,1.0,0.0,57.0,2013.0,-37.80348,144.98256999999995,5825.0,490000.0
2301,4,14.6,3189.0,3.0,2.0,743.0,171.0,1973.0,-37.9362,145.0442,2555.0,1300000.0
4265,3,9.2,3012.0,1.0,2.0,660.0,88.0,1955.0,-37.7851,144.8654,3873.0,930000.0
1029,2,3.4,3068.0,1.0,0.0,164.0,99.0,1890.0,-37.7912,144.9967,2954.0,1290000.0
6068,5,11.7,3148.0,2.0,2.0,276.0,159.0,2011.0,-37.87883,145.09741,3582.0,1050000.0
1706,2,13.7,3188.0,2.0,1.0,225.0,118.0,1970.0,-37.9442,145.0018,5454.0,875500.0
684,4,5.2,3056.0,1.0,0.0,264.0,139.0,1900.0,-37.7611,144.9677,11918.0,1115000.0
2859,4,11.2,3073.0,2.0,2.0,508.0,141.0,1950.0,-37.7129,145.0047,21650.0,885000.0
6175,3,18.0,3037.0,2.0,2.0,662.0,232.0,2004.0,-37.70525,144.75699,3640.0,585000.0
3773,4,7.5,3123.0,2.0,2.0,556.0,220.0,1900.0,-37.8204,145.0516,6482.0,2350000.0
5359,3,10.5,3020.0,2.0,2.0,573.0,198.0,1940.0,-37.79127,144.83713,3755.0,1070000.0
2744,4,8.8,3072.0,1.0,2.0,560.0,160.0,1970.0,-37.743,144.9914,14577.0,1142500.0
3754,2,7.5,3123.0,1.0,1.0,0.0,110.0,1945.0,-37.8233,145.0575,6482.0,680000.0
658,2,10.7,3187.0,3.0,2.0,302.0,250.0,2018.0,-37.9182,145.0231,6938.0,1310000.0
2854,2,11.2,3073.0,1.0,1.0,750.0,92.0,1960.0,-37.7089,145.0192,21650.0,680000.0
485,3,13.9,3165.0,1.0,1.0,250.0,105.0,1980.0,-37.9087,145.0537,10969.0,835000.0
5367,3,7.0,3071.0,1.0,0.0,275.0,90.0,1920.0,-37.76126,145.00247,8870.0,1225000.0
1544,4,9.2,3146.0,3.0,4.0,1258.0,254.0,1941.0,-37.8552,145.082,10412.0,2300000.0
2635,3,3.8,3207.0,2.0,2.0,5042.0,102.0,1995.0,-37.8405,144.9319,8648.0,2460000.0
2343,3,8.4,3015.0,2.0,2.0,0.0,162.0,2007.0,-37.8436,144.8691,5498.0,735000.0
2451,2,5.5,3070.0,1.0,1.0,174.0,106.0,1995.0,-37.7642,144.9963,11364.0,844000.0
2876,3,2.6,3121.0,1.0,1.0,199.0,105.0,1900.0,-37.8193,144.9993,14949.0,1010000.0
1037,2,7.8,3058.0,1.0,1.0,371.0,93.0,1930.0,-37.735,144.9589,11204.0,850000.0
4128,1,3.4,3068.0,1.0,1.0,0.0,45.0,1970.0,-37.7881,145.0058,2954.0,465000.0
4408,2,6.1,3182.0,1.0,0.0,135.0,74.0,1930.0,-37.8661,144.9802,13240.0,1120000.0
4430,3,13.5,3020.0,1.0,1.0,757.0,100.0,1950.0,-37.7845,144.8088,6763.0,571000.0
2839,2,11.2,3073.0,1.0,1.0,153.0,87.0,2007.0,-37.7098,145.0211,21650.0,440000.0
5017,3,2.4,3121.0,3.0,3.0,81.0,81.0,2000.0,-37.82622,144.99879,14949.0,1425000.0
5026,3,14.0,3021.0,1.0,1.0,582.0,116.0,1960.0,-37.74538,144.79216,14042.0,610000.0
2572,3,9.9,3044.0,1.0,1.0,190.0,108.0,1970.0,-37.7211,144.9508,7485.0,616000.0
1131,3,9.2,3058.0,1.0,1.0,407.0,95.0,1930.0,-37.7351,144.9833,3445.0,650000.0
671,4,5.2,3056.0,3.0,1.0,238.0,93.0,1910.0,-37.7713,144.9643,11918.0,1802500.0
3252,3,12.6,3020.0,1.0,2.0,563.0,122.0,1965.0,-37.7956,144.826,3755.0,607000.0
4016,3,10.5,3034.0,2.0,1.0,292.0,150.0,2008.0,-37.7593,144.8561,4502.0,765000.0
222,3,11.0,3147.0,2.0,3.0,702.0,145.0,1945.0,-37.8737,145.0695,3052.0,1665000.0
4121,3,13.6,3148.0,1.0,2.0,418.0,132.0,1955.0,-37.886,145.096,3582.0,905000.0
3269,2,13.3,3020.0,1.0,6.0,968.0,141.0,1950.0,-37.7698,144.8362,4217.0,1190000.0
535,4,13.1,3128.0,2.0,1.0,692.0,195.0,1890.0,-37.8247,145.1281,4605.0,1600000.0
4380,2,11.2,3073.0,1.0,1.0,110.0,1.0,1960.0,-37.7216,145.0099,21650.0,505000.0
2607,4,3.8,3207.0,2.0,1.0,212.0,158.0,1900.0,-37.8331,144.9412,8648.0,1820000.0
5238,4,19.6,3076.0,2.0,2.0,635.0,157.0,1985.0,-37.64051,145.05743,10926.0,545000.0
2636,3,3.8,3207.0,2.0,2.0,214.0,241.0,2014.0,-37.8341,144.9458,8648.0,3705000.0
1766,3,4.6,3122.0,3.0,2.0,88.0,178.0,2011.0,-37.824,145.0427,11308.0,1780000.0
1294,2,7.7,3184.0,1.0,1.0,0.0,50.0,1940.0,-37.8831,144.9855,8989.0,570000.0
3757,4,7.5,3123.0,3.0,2.0,324.0,241.0,2002.0,-37.8348,145.0503,6482.0,1738000.0
2743,3,8.8,3072.0,2.0,2.0,463.0,123.0,1920.0,-37.7507,144.9921,14577.0,1162500.0
3289,3,13.5,3020.0,1.0,2.0,603.0,131.0,1950.0,-37.7891,144.82299999999995,6763.0,547500.0
2074,3,7.4,3144.0,1.0,3.0,696.0,128.0,1910.0,-37.8462,145.0386,4675.0,2415000.0
4908,2,14.0,3047.0,1.0,1.0,171.0,90.0,2008.0,-37.68489,144.9212,4294.0,310000.0
499,3,13.9,3165.0,2.0,3.0,629.0,168.0,1950.0,-37.912,145.0752,10969.0,1161000.0
6160,4,15.2,3191.0,2.0,2.0,390.0,235.0,2004.0,-37.96,145.02068,4497.0,1660000.0
4055,3,10.7,3187.0,2.0,1.0,119.0,160.0,2000.0,-37.9084,145.0118,6938.0,972000.0
