,word,stem
0,Wilson,wilson
1,primary,primari
2,source,sourc
3,ironic,iron
4,style,style
5,conspiracism,conspirac
6,sensibility,sensibl
7,treats,treat
8,alleged,alleg
9,cabals,cabal
10,intrigues,intrigu
11,exposed,expos
12,lies,lie
13,debunked,debunk
14,bizarre,bizarr
15,mutant,mutant
16,mythos,mytho
17,mined,mine
18,laughs,laugh
19,metaphors,metaphor
20,social,social
21,insights,insight
22,These,these
23,days,day
24,choosing,choos
25,politics,polit
26,matter,matter
27,youre,your
28,afraid,afraid
29,Washington,washington
30,cabal,cabal
31,thats,that
32,openly,openli
33,trying,tri
34,erase,eras
35,freedoms,freedom
36,various,variou
37,foreign,foreign
38,kill,kill
39,Like,like
40,urlLink,urllink
41,living,live
42,Robert,robert
43,Anton,anton
44,Wilsons,wilson
45,world,world
46,via,via
