,word,lemma
0,urlLink,urllink
1,CANCER,cancer
2,LUNAR,lunar
3,CYCLE,cycl
4,Maya,maya
5,del,del
6,Mar,mar
7,July,juli
8,17,17
9,August,august
10,16,16
11,During,dure
12,passage,passag
13,sun,sun
14,Cancer,cancer
15,extraordinarily,extraordinarili
16,open,open
17,inner,inner
18,selves,selv
19,depths,depth
20,connections,connect
21,universe,univers
22,The,the
23,vulnerability,vulner
24,state,state
25,increases,increas
26,need,need
27,security,secur
28,find,find
29,attending,attend
30,aspects,aspect
31,lives,live
32,center,center
33,hearthour,hearthour
34,child,child
35,family,famili
36,domestic,domest
37,homes,home
38,businessesthose,businessesthos
39,things,thing
40,relate,relat
41,creating,creat
42,stable,stabl
43,base,base
44,situations,situat
45,safety,safeti
46,comfort,comfort
47,Sun,sun
48,enters,enter
49,sign,sign
50,Summer,summer
51,Solstice,solstic
52,This,thi
53,longest,longest
54,day,day
55,year,year
56,northern,northern
57,hemisphere,hemispher
58,At,At
59,moment,moment
60,days,day
61,begin,begin
62,shorten,shorten
63,night,night
64,force,forc
65,takes,take
66,six,six
67,month,month
68,journey,journey
69,gradually,gradual
70,embracing,embrac
71,darkness,dark
72,climaxes,climax
73,winter,winter
74,solstice,solstic
75,December,decemb
76,21,21
77,Like,like
78,introduces,introduc
79,us,us
80,forces,forc
81,mysterious,mysteri
82,They,they
83,ruled,rule
84,Moon,moon
85,Goddess,goddess
86,Night,night
87,brings,bring
88,waxing,wax
89,waning,wane
90,lanterns,lantern
91,guide,guid
92,dark,dark
93,murky,murki
94,unconscious,unconsci
95,watery,wateri
96,feeling,feel
97,In,In
98,Gemini,gemini
99,made,made
100,every,everi
101,passing,pass
102,event,event
103,restlessly,restlessli
104,kept,kept
105,motion,motion
106,learning,learn
107,world,world
108,exploring,explor
109,Now,now
110,time,time
111,turn,turn
112,within,within
113,learn,learn
114,nurture,nurtur
115,create,creat
116,safe,safe
117,home,home
118,subconscious,subconsci
119,real,real
120,staging,stage
121,ground,ground
122,life,life
123,must,must
124,develop,develop
125,lines,line
126,support,support
127,anchor,anchor
128,vastness,vast
129,maintaining,maintain
130,fluid,fluid
131,passageways,passageway
132,growth,growth
133,change,chang
134,movement,movement
135,new,new
136,levels,level
137,Aries,ari
138,brought,brought
139,seed,seed
140,spirit,spirit
141,earth,earth
142,Taurus,tauru
143,multiplied,multipli
144,seeds,seed
145,air,air
146,swept,swept
147,disperse,dispers
148,proper,proper
149,spot,spot
150,put,put
151,strong,strong
152,roots,root
153,It,It
154,appropriate,appropri
155,plant,plant
156,gardens,garden
157,moon,moon
158,rules,rule
159,fluctuates,fluctuat
160,monthly,monthli
161,cycle,cycl
162,also,also
163,connected,connect
164,daily,daili
165,fluctuations,fluctuat
166,tidal,tidal
167,waters,water
168,throughout,throughout
169,Underlying,underli
170,fluctuation,fluctuat
171,may,may
172,seem,seem
173,capricious,caprici
174,dont,dont
175,pay,pay
176,attention,attent
177,lifes,life
178,rhythms,rhythm
179,regular,regular
180,cycles,cycl
181,predictability,predict
182,energy,energi
183,similarly,similarli
184,fluctuating,fluctuat
185,movementgoing,movementgo
186,deep,deep
187,sources,sourc
188,moving,move
189,express,express
190,ever,ever
191,shifting,shift
192,ocean,ocean
193,currents,current
194,But,but
195,like,like
196,accountable,account
197,containers,contain
198,kinds,kind
199,including,includ
200,womb,womb
201,young,young
202,nourished,nourish
203,families,famili
204,gestation,gestat
205,vulnerable,vulner
206,embryo,embryo
207,formed,form
208,layers,layer
209,protection,protect
210,associated,associ
211,bodies,bodi
212,lakes,lake
213,amniotic,amniot
214,sacs,sac
215,knows,know
216,water,water
217,symbolizes,symbol
218,emotions,emot
219,astrology,astrolog
220,essential,essenti
221,matrix,matrix
222,feelings,feel
223,tender,tender
224,protected,protect
225,growing,grow
226,fetus,fetu
227,intimately,intim
228,carries,carri
229,process,process
230,And,and
231,attended,attend
232,fledgling,fledgl
233,healthy,healthi
234,Sabian,sabian
235,Symbol,symbol
236,26,26
237,GUESTS,guest
238,ARE,are
239,READING,read
240,IN,IN
241,THE,the
242,LIBRARY,librari
243,OF,OF
244,A,A
245,LUXURIOUS,luxuri
246,HOME,home
247,transference,transfer
248,social,social
249,privilege,privileg
250,level,level
251,intellectual,intellectu
252,enjoyment,enjoy
253,We,We
254,see,see
255,concretization,concret
256,cultural,cultur
257,excellence,excel
258,wealth,wealth
259,individuals,individu
260,exercise,exercis
261,developmental,development
262,capacities,capac
263,individualized,individu
264,library,librari
265,belongs,belong
266,private,privat
267,residence,resid
268,luxury,luxuri
269,implies,impli
270,concentration,concentr
271,upon,upon
272,acquisition,acquisit
273,Maintaining,maintain
274,CLASS,class
275,STANDARDS,standard
276,INFORMATION,inform
277,What,what
278,stake,stake
279,conform,conform
280,requirements,requir
281,ones,one
282,status,statu
