,word,lemma
0,Asking,ask
1,For,for
2,Stories,stori
3,Words,word
4,pool,pool
5,along,along
6,base,base
7,cling,cling
8,wick,wick
9,moment,moment
10,letting,let
11,go,go
12,I,I
13,watch,watch
14,slide,slide
15,My,My
16,thoughts,thought
17,longer,longer
18,reaching,reach
19,pen,pen
20,looking,look
21,paper,paper
22,trying,tri
23,catch,catch
24,drips,drip
25,eluded,elud
26,six,six
27,years,year
28,background,background
29,conversations,convers
30,inner,inner
31,dialogue,dialogu
32,kept,kept
33,company,compani
34,turnpike,turnpik
35,would,would
36,stain,stain
37,page,page
38,staring,stare
39,flame,flame
40,noticing,notic
41,colors,color
42,shadows,shadow
43,wall,wall
44,finger,finger
45,families,famili
46,wide,wide
47,eyes,eye
48,asking,ask
49,stories,stori
