,word,stem
0,So,So
1,thinking,think
2,sharing,share
3,tunes,tune
4,via,via
5,urlLink,urllink
6,rendezvous,rendezv
7,wireless,wireless
8,networks,network
9,When,when
10,realized,realiz
11,well,well
12,carry,carri
13,iPod,ipod
14,making,make
15,useless,useless
16,system,system
17,like,like
18,hook,hook
19,USB,usb
20,port,port
21,Pocket,pocket
22,PC,PC
23,Nope,nope
24,Master,master
25,Slave,slave
26,relationship,relationship
27,Peer,peer
28,Firewire,firewir
29,Luckily,luckili
30,host,host
31,Compact,compact
32,Flash,flash
33,card,card
34,soon,soon
35,released,releas
36,Then,then
37,1,1
38,speed,speed
39,PocketPC,pocketpc
40,would,would
41,gawd,gawd
42,awful,aw
43,slow,slow
44,still,still
45,think,think
46,worthwhile,worthwhil
47,tinker,tinker
48,around,around
49,I,I
50,guess,guess
51,look,look
52,forward,forward
53,company,compani
54,actually,actual
55,incorporate,incorpor
56,sort,sort
57,Mp3,mp3
58,Player,player
59,choice,choic
