,word,lemma
0,DIALOGUE,dialogu
1,WITH,with
2,YOURSELF,yourself
3,Did,did
4,expect,expect
5,find,find
6,location,locat
7,starting,start
8,I,I
9,mean,mean
10,feel,feel
11,talking,talk
12,behind,behind
13,fingertips,fingertip
14,ever,ever
15,pressing,press
16,nothing,noth
17,abyss,abyss
18,bytes,byte
19,spewing,spew
20,data,data
21,like,like
22,stars,star
23,universe,univers
24,expanding,expand
25,exploding,explod
26,consciousness,conscious
27,batches,batch
28,recorded,record
29,see,see
30,blindness,blind
31,turning,turn
32,away,away
33,visual,visual
34,coming,come
35,screen,screen
36,alive,aliv
37,much,much
38,let,let
39,brightness,bright
40,illumination,illumin
41,signalling,signal
42,race,race
43,finish,finish
