,word,stem
0,235,235
1,one,one
2,hour,hour
3,dinner,dinner
4,I,I
5,glucophage,glucophag
6,morning,morn
7,hardly,hardli
8,carbs,carb
9,day,day
10,depressing,depress
11,fasting,fast
12,sugar,sugar
13,120,120
14,less,less
15,eating,eat
16,think,think
17,150,150
18,taking,take
19,three,three
20,two,two
21,glipizid,glipizid
22,apparent,appar
23,even,even
24,ate,ate
25,nothing,noth
26,blood,blood
27,high,high
28,escape,escap
29,fuck,fuck
30,hope,hope
31,weight,weight
32,goes,goe
33,diabetes,diabet
34,go,go
35,away,away
36,thats,that
37,goal,goal
38,anyway,anyway
39,poop,poop
40,tommorrow,tommorrow
41,another,anoth
