,word,stem
0,urlLink,urllink
1,Microcosmic,microcosm
2,corruption,corrupt
3,vs,vs
4,negative,neg
5,vote,vote
6,take,take
7,small,small
8,town,town
9,government,govern
10,stick,stick
11,rubber,rubber
12,hose,hose
13,butt,butt
14,fill,fill
15,hot,hot
16,air,air
17,roughly,roughli
18,2500,2500
19,pounds,pound
20,per,per
21,square,squar
22,inch,inch
23,rough,rough
24,idea,idea
25,federal,feder
26,deeply,deepli
27,rotten,rotten
28,Or,Or
29,go,go
30,sit,sit
31,couple,coupl
32,local,local
33,council,council
34,meetings,meet
35,If,If
36,lucky,lucki
37,fight,fight
38,might,might
39,break,break
40,And,and
41,sure,sure
42,George,georg
43,W,W
44,Bush,bush
45,choice,choic
