,word,lemma
0,More,more
1,moblogging,moblog
2,What,what
3,Katherine,katherin
4,thought,thought
5,chocolate,chocol
6,cake,cake
7,5,5
8,feet,feet
9,away,away
10,urlLink,urllink
11,The,the
12,Super,super
13,Bowl,bowl
14,boring,bore
15,Sharry,sharri
16,started,start
17,playing,play
18,solitare,solitar
19,That,that
20,TL,TL
21,rice,rice
22,Civic,civic
23,See,see
24,I,I
25,person,person
26,Redmond,redmond
27,Bellevue,bellevu
28,drives,drive
29,Focus,focu
30,ZX3,zx3
31,A,A
32,Beetle,beetl
33,Altezzas,altezza
34,Sigh,sigh
