,word,lemma
0,Black,black
1,New,new
2,Moon,moon
3,Phase,phase
4,This,thi
5,3,3
6,day,day
7,period,period
8,hidden,hidden
9,view,view
10,At,At
11,point,point
12,Sun,sun
13,energizing,energ
14,preparing,prepar
15,Her,her
16,journey,journey
17,A,A
18,time,time
19,self,self
20,reflection,reflect
21,meditation,medit
22,new,new
23,awareness,awar
24,take,take
25,seed,seed
26,The,the
27,Crescent,crescent
28,rises,rise
29,tomorrow,tomorrow
30,7,7
31,Fire,fire
32,Leo,leo
33,shoots,shoot
34,stage,stage
35,moon,moon
36,begins,begin
37,monthly,monthli
38,cycle,cycl
39,charge,charg
40,attitude,attitud
41,Avoid,avoid
42,drama,drama
43,Mobilize,mobil
44,resources,resourc
45,assert,assert
46,forward,forward
47,direction,direct
48,Impulsiveness,impuls
49,sets,set
50,project,project
51,motion,motion
52,challenge,challeng
53,become,becom
54,aware,awar
55,resistance,resist
56,intention,intent
57,created,creat
58,patterns,pattern
59,past,past
60,would,would
61,impede,imped
62,progress,progress
63,Sources,sourc
64,urlLink,urllink
65,Astro,astro
66,Awareness,awar
67,Oracle,oracl
68,Surfing,surf
