,word,lemma
0,Tell,tell
1,Ghana,ghana
2,Enforce,enforc
3,Anti,anti
4,Slavery,slaveri
5,Laws,law
6,Five,five
7,thousand,thousand
8,women,women
9,children,children
10,live,live
11,Trokosi,trokosi
12,slaves,slave
13,Ewe,ewe
14,language,languag
15,means,mean
16,wife,wife
17,gods,god
18,According,accord
19,religious,religi
20,tradition,tradit
21,called,call
22,ju,ju
23,virgin,virgin
24,daughters,daughter
25,must,must
26,offered,offer
27,fetish,fetish
28,priests,priest
29,atonement,aton
30,sins,sin
31,family,famili
32,members,member
33,bring,bring
34,misfortune,misfortun
35,even,even
36,death,death
37,upon,upon
38,In,In
39,1998,1998
40,Ghanaian,ghanaian
41,parliament,parliament
42,amended,amend
43,legislation,legisl
44,ban,ban
45,practice,practic
46,strengthen,strengthen
47,punishment,punish
48,offenders,offend
49,however,howev
50,done,done
51,little,littl
52,enforce,enforc
53,law,law
54,Join,join
55,us,us
56,pressuring,pressur
57,government,govern
58,end,end
59,enslavement,enslav
60,urlLink,urllink
61,Take,take
62,Action,action
