,word,stem
0,CANCER,cancer
1,HOROSCOPE,horoscop
2,This,thi
3,time,time
4,everyone,everyon
5,knows,know
6,position,posit
7,You,you
8,told,told
9,came,came
10,right,right
11,said,said
12,But,but
13,style,style
14,Hard,hard
15,Shelled,shell
16,One,one
17,tell,tell
18,everything,everyth
19,And,and
20,bothering,bother
21,meant,meant
22,well,well
23,really,realli
24,going,go
25,like,like
26,extremely,extrem
27,difficult,difficult
28,peel,peel
29,away,away
30,layers,layer
31,shell,shell
32,Don,don
33,hard,hard
34,Just,just
35,keep,keep
36,working,work
37,one,one
38,layer,layer
39,It,It
40,creepy,creepi
41,horoscope,horoscop
42,accurate,accur
