,word,stem
0,would,would
1,never,never
2,wished,wish
3,million,million
4,years,year
5,thought,thought
6,alone,alon
7,repulsive,repuls
8,yet,yet
9,reality,realiti
10,positive,posit
11,boost,boost
12,everything,everyth
13,us,us
14,seemingly,seemingli
15,improving,improv
16,ambition,ambit
17,love,love
18,sex,sex
19,life,life
20,amazing,amaz
21,right,right
22,pitiful,piti
23,time,time
24,go,go
25,back,back
26,simple,simpl
27,things,thing
28,living,live
29,one,one
30,another,anoth
31,spending,spend
32,every,everi
33,waking,wake
34,hour,hour
35,spark,spark
36,die,die
37,thing,thing
38,ever,ever
39,happen,happen
40,get,get
41,along,along
42,better,better
43,dont,dont
44,live,live
45,know,know
46,sigh,sigh
47,realizing,realiz
48,many,mani
49,distance,distanc
50,think,think
51,needed,need
52,realize,realiz
53,wish,wish
54,could,could
55,realized,realiz
56,knows,know
57,future,futur
58,holds,hold
59,certain,certain
60,sound,sound
61,going,go
62,anywhere,anywher
63,death,death
64,nothing,noth
65,come,come
66,inbetween,inbetween
67,shallow,shallow
68,believe,believ
69,word,word
70,used,use
71,tonight,tonight
72,watched,watch
73,american,american
74,idol,idol
75,finale,final
76,relaxing,relax
77,captivated,captiv
78,moment,moment
79,laying,lay
80,together,togeth
81,sitting,sit
82,top,top
83,hardly,hardli
84,focus,focu
85,tv,tv
86,watch,watch
87,show,show
88,songs,song
89,singing,sing
90,ironic,iron
91,situation,situat
92,facing,face
93,sureal,sureal
94,goodnight,goodnight
