,word,stem
0,urlLink,urllink
1,CAPRICORN,capricorn
2,LUNAR,lunar
3,CYCLE,cycl
4,Claudia,claudia
5,www,www
6,moonsurfing,moonsurf
7,com,com
8,Dec,dec
9,23,23
10,Jan,jan
11,20,20
12,The,the
13,Capricorn,capricorn
14,lunar,lunar
15,cycle,cycl
16,reminds,remind
17,discipline,disciplin
18,liberation,liber
19,As,As
20,light,light
21,returns,return
22,prepare,prepar
23,enter,enter
24,year,year
25,love,love
26,relationship,relationship
27,responsibility,respons
28,healing,heal
29,vibration,vibrat
30,number,number
31,6,6
32,Heed,heed
33,call,call
34,consolidate,consolid
35,resources,resourc
36,set,set
37,new,new
38,limits,limit
39,goals,goal
40,self,self
41,reliant,reliant
42,Mercury,mercuri
43,continues,continu
44,move,move
45,retrograde,retrograd
46,motion,motion
47,till,till
48,January,januari
49,6th,6th
50,Reflect,reflect
51,lessons,lesson
52,learned,learn
53,get,get
54,clear,clear
55,need,need
56,boundaries,boundari
57,accomplish,accomplish
58,Think,think
59,box,box
60,alternative,altern
61,solutions,solut
62,areas,area
63,calling,call
64,month,month
65,progresses,progress
66,strike,strike
67,balance,balanc
68,desires,desir
69,status,statu
70,achievement,achiev
71,outer,outer
72,world,world
73,time,time
74,spent,spent
75,attending,attend
76,family,famili
77,feelings,feel
78,rest,rest
79,renewal,renew
80,body,bodi
81,soul,soul
82,Utilize,util
83,challenging,challeng
84,situations,situat
85,decide,decid
86,needs,need
87,change,chang
88,Then,then
89,make,make
90,comprehensive,comprehens
91,plan,plan
92,remember,rememb
93,patience,patienc
94,persistence,persist
95,preparation,prepar
96,valuable,valuabl
97,Last,last
98,energy,energi
99,encouraged,encourag
100,providential,providenti
101,trust,trust
102,hope,hope
103,belief,belief
104,good,good
105,fortune,fortun
106,This,thi
107,requires,requir
108,align,align
109,highest,highest
110,intentions,intent
111,diligently,dilig
112,journey,journey
113,leaving,leav
114,nothing,noth
115,chance,chanc
