,word,stem
0,Life,life
1,meant,meant
2,enjoyed,enjoy
3,You,you
4,creator,creator
5,experience,experi
6,Be,Be
7,easy,easi
8,supposed,suppos
9,fun,fun
10,Lighten,lighten
11,Play,play
12,Laugh,laugh
13,Make,make
14,things,thing
15,Hang,hang
16,around,around
17,people,peopl
18,make,make
19,laugh,laugh
20,Go,Go
21,places,place
22,feel,feel
23,good,good
24,best,best
25,every,everi
26,situation,situat
27,Look,look
28,positive,posit
29,aspects,aspect
30,live,live
31,Keep,keep
32,mind,mind
33,busy,busi
34,Focus,focu
35,upon,upon
36,Bring,bring
37,many,mani
38,life,life
39,decisions,decis
40,day,day
41,Have,have
42,directors,director
43,Energyand,energyand
44,thought,thought
45,process,process
46,direct,direct
47,I,I
48,hope,hope
49,touched,touch
50,chord,chord
51,inside,insid
52,Namaste,namast
53,myrna,myrna
