,frequency
INTERNET,1
ACCESS,1
THROUGH,1
POWER,1
LINES,1
THEY,1
RE,1
WORKING,1
ON,1
IT,1
Might,1
you,1
one,1
day,1
connect,1
to,8
the,9
Internet,3
via,2
nearest,1
wall,1
socket,1
It,1
s,5
possible,1
technically,1
anyway,1
The,1
mission,1
of,3
newly,1
minted,1
joint,1
venture,1
company,3
Linecom,1
Inc,1
will,2
be,1
develop,2
and,5
deploy,1
power,5
line,3
communication,2
systems,2
in,3
Japan,2
which,2
would,1
push,1
access,1
onto,1
existing,1
lines,1
Formed,1
among,1
Kansai,3
Electric,4
Power,2
Co,1
Matsushita,2
Works,1
Ltd,1
Israel,1
Itran,3
Communications,1
new,1
capitalize,1
on,1
knowledge,1
distribution,1
PLC,2
technology,1
expertise,1
system,1
integration,1
product,1
design,1
a,2
complete,1
start,1
finish,1
solution,1
from,1
modems,1
networking,1
equipment,1
has,1
developed,1
special,1
modem,1
that,1
links,1
household,1
electrical,1
outlets,1
intends,1
launch,1
service,1
once,1
Japanese,1
government,1
deregulates,1
use,1
high,1
frequency,1
bands,1
for,1
is,1
expected,1
happen,1
early,1
next,1
year,1
Story,1
courtesy,1
Presentations,1
Industry,1
Update,1
http,1
www,1
presentations,1
com,1
sub,1
piu,1
subscribe,1
html,1
