,frequency
Japan,1
Scientists,1
Grow,1
Artificial,1
Eyeball,1
Kyodo,4
TOKYO,1
Reuters,1
Japanese,1
scientists,1
have,1
succeeded,2
in,6
growing,2
artificial,1
eyeballs,2
for,1
the,9
first,1
time,1
world,1
news,1
agency,1
said,4
Saturday,1
A,2
group,3
of,4
researchers,1
led,1
by,1
Makoto,1
Asashima,3
biology,1
professor,1
at,1
Tokyo,1
University,1
tadpoles,1
using,1
cells,2
taken,1
from,2
frog,2
embryos,1
Since,1
basics,1
body,1
making,1
is,1
common,1
to,3
that,1
human,1
beings,1
I,1
think,1
this,1
might,1
help,1
enable,1
people,1
regain,1
vision,1
future,1
was,3
quoted,1
as,1
saying,1
The,1
after,2
soaking,1
undifferentiated,1
embryo,1
a,3
Platanna,1
special,1
medium,1
transplanted,1
eyeball,2
into,1
tadpole,2
whose,1
left,1
eye,1
had,1
been,1
removed,1
before,1
it,2
hatched,1
week,1
transplant,1
s,2
confirmed,1
connected,1
optic,1
nerves,1
and,1
there,1
were,1
no,1
rejection,1
symptoms,1
http,1
dailynews,1
yahoo,1
com,1
h,1
nm,1
20020105,1
sc,1
japan_eyeball_dc_1,1
html,1
