,frequency
urlLink,3
June,2
2003,1
Outlook,1
from,3
Moonsurfing,1
com,3
Dear,1
Moonsurfers,1
The,3
Moon,7
is,6
New,5
in,9
Gemini,4
on,3
Friday,1
May,4
30th,2
at,2
9,1
20,1
PM,1
PST,1
http,2
www,2
moonsurfing,2
nm,1
ovr,2
html,2
for,2
our,2
monthly,1
overview,1
go,1
to,14
mo,1
This,3
has,1
many,1
explosive,1
aspects,1
and,26
could,1
definitely,1
be,3
stressful,1
the,28
climax,1
a,11
very,1
cosmically,1
complex,1
month,4
Remember,2
importance,1
of,14
breathing,1
fully,1
deeply,1
or,2
31st,1
depending,1
n,1
your,6
time,3
zone,1
2nd,2
brand,1
new,4
beginning,1
gifted,1
us,4
by,3
accompanying,1
solar,1
eclipse,3
provides,1
with,1
opportunity,1
move,1
forward,1
directions,1
provided,1
we,7
ve,1
allowed,1
ourselves,1
process,1
feelings,2
stirred,1
up,3
Full,1
lunar,1
Imagination,1
magic,2
are,2
heightened,1
this,3
one,1
called,1
Black,1
Wiccan,1
tradition,1
denotes,1
when,1
alchemy,1
extremely,1
powerful,1
A,1
sextile,1
Jupiter,1
Leo,1
expansion,1
broader,1
horizons,1
Neptune,1
Aquarius,1
field,1
dreams,1
sends,1
message,1
telling,1
that,4
can,2
create,2
what,3
imagine,1
Don,1
t,1
put,1
too,1
much,2
plate,1
you,2
ll,1
lose,1
focus,1
sacrifice,1
needed,1
clarity,1
may,1
well,2
pop,1
information,2
concerning,2
shady,1
dealings,1
Congress,1
FCC,1
private,1
corporate,1
media,1
interests,1
radio,1
television,1
broadcasting,1
Freedom,1
speech,1
communication,1
basic,1
tenet,1
upon,1
which,2
country,1
was,1
built,1
so,2
stay,2
aware,1
s,4
happening,1
make,1
those,2
calls,1
write,1
letters,1
shift,1
Taurus,3
ruler,2
throat,1
within,1
reminds,1
let,1
voice,1
heard,1
On,1
3rd,1
Saturn,2
vacates,1
after,1
3,1
year,1
begins,1
journey,1
through,2
Cancer,2
will,2
last,3
until,1
July,1
16,1
2005,1
Woman,1
issues,1
more,1
prominent,1
political,1
economic,1
personal,1
lessons,1
30,1
years,1
come,1
reality,1
check,1
first,3
woman,3
bank,1
climb,1
Mt,1
Everest,1
priests,1
ordained,1
Anglican,1
Episcopalian,1
churches,1
as,2
Watergate,1
worldwide,1
inflation,1
oil,1
embargo,1
energy,1
crisis,1
marked,1
transit,1
Venus,1
love,1
beauty,1
way,2
attract,1
need,1
material,1
plane,1
Mercury,1
think,1
assimilate,1
united,1
reminding,1
connect,1
heart,1
mind,3
find,1
win,2
solutions,1
Stay,1
positive,1
keep,1
an,1
open,1
cultivate,1
willingness,1
listen,1
tune,1
into,1
adventurous,1
excitement,1
world,1
opening,1
consciousness,1
creates,1
reflect,1
get,1
ready,1
co,1
direction,1
committing,1
thoughts,1
words,1
actions,1
universal,1
re,1
all,1
part,1
Claudia,1
