,frequency
WORKAHOLIC,1
Another,1
sun,1
sets,1
as,1
you,13
stab,1
at,3
your,12
keyboard,1
fingers,1
drumming,1
replies,1
to,7
the,15
boomerang,1
burst,1
of,9
emails,1
must,1
answer,1
In,1
only,1
a,3
few,1
moments,1
time,3
for,5
dinner,1
will,10
have,3
passed,1
all,4
movies,1
already,1
begun,1
and,9
friends,1
be,4
in,5
thick,1
their,1
plans,1
night,1
You,3
may,1
believe,1
urgency,1
greater,1
cause,1
company,1
has,1
instilled,1
idea,1
place,1
this,2
world,1
from,1
which,1
there,3
is,5
no,2
clocking,1
out,1
So,1
wake,1
dawn,1
work,4
but,1
know,2
end,1
it,3
nothing,2
The,1
come,2
where,2
death,1
rock,1
boat,1
loss,1
loved,1
one,1
leaving,1
an,1
anchor,1
deep,1
under,1
waves,1
wonder,1
those,2
sunsets,1
went,1
why,1
were,2
not,3
hold,1
her,1
hand,1
starlight,1
find,1
that,2
trips,1
meant,1
are,2
even,2
remembered,1
money,1
left,1
behind,1
too,2
weak,1
keep,1
floating,1
Begin,1
tread,1
now,3
gather,1
strength,1
Pick,1
up,1
sail,1
with,1
wind,1
love,1
more,1
than,1
greed,1
ever,1
buy,1
never,2
important,2
enough,2
or,2
proof,1
worth,1
through,1
any,2
job,1
title,1
It,1
quicksand,1
self,1
matter,1
how,1
much,1
eats,1
soul,1
full,1
Forgive,3
yourself,3
times,2
made,1
others,1
do,1
so,1
could,1
ride,1
corporate,1
coaster,1
couldn,1
t,1
because,1
thought,1
truth,1
does,1
easy,1
without,1
lesson,1
There,1
many,1
oceans,1
ahead,1
call,1
home,1
