,frequency
urlLink,1
BBCThinker,1
Quiz,1
I,1
am,1
a,2
mix,1
of,7
the,5
two,1
Existential,3
thinkers,5
Like,3
to,5
spend,1
time,2
thinking,2
about,2
philosophical,1
issues,1
such,1
as,3
What,1
is,1
meaning,1
life,1
Try,1
see,1
beyond,1
here,1
and,7
now,1
understand,3
deeper,1
meanings,1
consider,1
moral,1
ethical,1
implications,1
problems,1
well,1
practical,1
solutions,1
existential,1
Leonardo,2
questioned,1
man,2
s,1
role,1
in,1
universe,1
Many,1
his,1
paintings,1
explored,1
relationship,1
between,1
God,1
Other,2
Thinkers,3
include,4
The,1
Buddha,1
Gandhi,2
Plato,1
Socrates,1
Martin,1
Luther,1
King,1
Careers,2
which,2
suit,2
Philosopher,1
Religious,1
leader,1
Head,1
state,1
Artist,1
Writer,1
Intrapersonal,3
Spend,1
lot,1
trying,1
themselves,1
Reflect,1
on,1
their,1
thoughts,1
moods,1
work,1
improve,2
them,1
You,1
how,1
your,2
behaviour,1
affects,1
relationships,1
with,1
others,1
intrapersonal,1
worked,1
hard,1
all,1
aspects,1
himself,1
Sigmund,1
Freud,1
Grahame,1
Greene,1
Psychologist,1
Teacher,1
Pilot,1
Child,1
care,1
worker,1
Explorer,1
Drama,1
therapist,1
