,frequency
Osho,2
Zen,1
Tarot,1
Trust,2
Don,1
t,3
waste,1
your,4
life,4
for,3
that,5
which,3
is,10
going,1
to,5
be,7
taken,6
away,6
If,1
you,8
trust,5
only,2
then,2
can,5
drop,1
knowledge,1
put,1
mind,1
aside,1
And,4
with,5
something,1
immense,1
opens,1
up,1
Then,1
this,2
no,3
longer,1
ordinary,1
it,4
becomes,1
full,1
of,7
God,1
overflowing,1
When,1
the,15
heart,1
innocent,1
and,7
walls,1
have,1
disappeared,1
are,2
bridged,1
infinity,1
not,2
deceived,1
there,2
nothing,1
from,4
That,1
worth,1
keeping,1
cannot,3
why,1
should,1
one,1
afraid,1
its,1
being,1
It,1
possibility,1
You,1
lose,1
real,1
treasure,1
The,3
Sun,1
Rises,1
in,1
Evening,1
Chapter,1
9,1
Commentary,1
Now,1
moment,1
a,5
bungee,1
jumper,1
without,1
cord,1
quality,1
absolute,1
reservations,1
or,2
secret,1
safety,1
nets,1
Knight,1
Water,1
demands,1
us,3
There,1
tremendous,1
sense,1
exhilaration,1
if,2
we,5
take,3
jump,2
move,1
into,1
unknown,1
even,1
idea,1
scares,1
death,1
when,1
level,1
quantum,1
leap,2
don,2
make,1
any,1
elaborate,1
plans,1
preparations,1
We,1
say,1
Okay,1
I,3
know,1
what,3
do,1
now,1
ll,1
settle,1
my,2
things,1
pack,1
suitcase,1
me,1
No,1
just,1
hardly,1
thought,1
happens,1
next,1
thing,1
thrill,1
as,1
free,1
fall,1
through,1
empty,1
sky,1
card,1
gives,1
hint,1
here,1
though,1
about,1
waits,1
at,1
other,1
end,1
soft,1
welcoming,1
yummy,1
pink,1
rose,1
petals,1
juicy,1
c,1
mon,1
