,frequency
urlLink,1
Coincidence,1
Pronunciation,1
ko,1
In,1
sih,1
dEns,1
Definition,1
1,2
the,3
occurrence,1
of,3
two,1
events,1
at,1
same,2
time,1
or,3
any,1
other,1
such,1
correspondence,2
things,1
as,3
though,1
by,1
chance,2
without,1
causal,1
relation,1
Example,1
What,1
a,2
coincidence,2
that,1
you,2
came,1
in,1
just,1
I,1
was,1
thinking,1
His,1
having,1
name,1
his,1
wife,1
s,1
father,1
may,2
not,1
be,1
Synonyms,1
simultaneity,1
simultaneous,1
concurrence,1
2,1
fortuitousness,1
fortuitous,1
Crossref,1
Syn,1
haphazard,1
Similar,1
Words,2
serendipity,1
concomitance,1
congruity,1
consonance,1
happenstance,1
accident,1
fluke2,1
luck,1
Related,1
identity,1
conjunction,1
