,frequency
urlLink,1
Macedonia,3
Pamphlet,1
Raises,1
Ethnic,1
Tensions,1
Human,1
Rights,1
Watch,1
Press,1
release,1
June,2
25,2
2001,1
MACEDONIA,1
PARAMILITARY,1
2000,2
ORDER,1
We,3
order,1
all,2
Shiptars,7
derogatory,1
term,1
for,4
ethnic,1
Albanians,1
tr,1
who,4
have,3
objects,1
sale,1
shopkeepers,1
here,1
and,3
around,1
the,6
Kwantaskhi,1
bazaar,1
to,3
leave,2
within,1
three,1
days,1
those,1
from,1
Aracinovo,1
deadline,3
is,1
24,1
hours,1
After,2
this,3
shops,1
will,6
be,5
burned,1
if,1
someone,1
tries,1
protect,1
them,1
same,1
killed,5
without,1
warning,1
inform,2
of,2
Macedonian,1
republic,1
that,1
every,3
police,3
officer,3
or,6
soldier,3
100,1
do,2
not,2
citizenship,3
took,1
after,2
1994,2
For,2
disabled,1
50,1
wounded,2
10,1
no,1
matter,1
what,1
gender,1
age,1
got,1
it,1
before,1
year,1
at,1
midnight,1
we,1
start,1
with,1
cleansing,1
The,1
Longest,1
Night,1
courtesy,1
Paramilitary,1
