,frequency
OFF,1
THE,1
HOOK,1
It,1
s,1
not,3
even,3
nine,1
when,1
there,1
is,1
an,2
attempt,1
to,2
cop,1
opt,1
my,3
crisis,1
story,1
at,1
last,1
told,1
and,3
everything,1
hangs,1
in,3
air,1
like,1
dreams,1
are,1
possible,1
The,1
day,1
passes,1
sleep,1
the,4
strain,1
of,2
listening,1
numbers,1
talk,1
screaming,1
down,1
columns,1
Excel,1
spreadsheet,1
5,2
cups,1
coffee,1
can,1
animate,1
Freedom,1
charges,1
another,1
debit,1
against,1
account,1
messenger,1
hits,1
floor,1
before,1
bullets,1
fly,1
written,1
21,1
