,frequency
Here,2
s,3
something,1
I,2
found,2
while,1
going,1
through,1
the,3
many,1
boxes,1
of,2
papers,1
journals,1
poetry,1
photos,1
and,2
letters,1
always,1
wonder,1
about,2
this,2
am,1
glad,1
to,2
have,1
written,1
at,1
top,1
a,1
calendar,1
MEMORY,1
A,1
person,1
eyes,1
can,2
give,1
valuable,1
clues,1
what,2
they,2
are,2
remembering,3
or,1
thinking,1
you,1
tell,1
from,1
way,1
looking,1
UP,2
Right,3
Visually,2
Left,3
constructing,2
STRAIGHT,2
Auditory,2
DOWN,2
Inner,1
dialog,1
Kinesthetic,1
feeling,1
