,frequency
urlLink,4
Current,1
Phase,1
Full,6
Moon,7
in,1
Sagittarius,4
The,4
is,4
when,1
the,13
symbolic,1
seed,1
flowers,1
Historically,1
Indians,1
of,7
what,1
are,1
now,2
northern,1
and,5
eastern,1
United,1
States,1
called,1
May,1
Flower,1
This,2
culmination,1
waxing,1
cycle,2
beginning,1
waning,1
full,1
moon,1
phase,1
can,1
bring,1
on,2
high,1
emotions,1
typically,1
a,1
good,1
time,3
to,4
concentrate,1
meditation,1
spirituality,1
creativity,1
matters,1
home,1
energy,1
one,1
fire,1
restlessness,1
message,1
encourages,1
us,1
reach,1
goal,2
after,1
as,1
we,2
follow,1
our,1
path,1
At,1
same,1
may,1
be,2
reminded,1
need,1
for,1
balance,1
down,1
Remember,1
here,1
over,1
next,1
few,1
days,1
Sources,1
Days,1
Lore,1
Meditation,1
