,frequency
urlLink,1
Homestar,4
Runner,2
This,1
animated,1
cartoon,1
series,1
features,1
and,8
pals,1
Pom,2
Marzipan,1
of,2
course,1
the,4
villainous,1
Strong,1
Bad,1
all,1
looking,1
like,1
computerized,1
Color,1
Forms,1
mostly,1
angles,1
circles,1
The,1
story,2
lines,1
songs,1
are,1
simple,1
goofy,1
with,1
an,2
addictive,1
charm,2
that,1
could,1
appeal,1
to,2
either,1
preschoolers,1
or,1
really,1
Xtreme,1
geeks,1
Created,1
by,1
Mike,1
Matt,1
Chapman,1
from,1
a,3
1996,1
children,1
s,2
was,1
also,1
developed,1
into,1
primitive,1
SNES,1
game,1
using,1
Mario,1
Paint,1
Part,1
creators,1
walk,1
you,2
through,1
evolution,1
via,1
Museum,1
stored,1
in,1
old,1
filing,1
cabinet,1
With,1
toons,1
games,1
downloads,1
store,1
where,1
can,1
buy,1
tee,1
shirts,1
stickers,1
other,1
iconography,1
feed,1
your,1
habit,1
