,frequency
Thank,2
you,9
for,5
your,3
inquiry,2
regarding,3
natural,3
gas,9
service,2
It,1
sounds,1
as,1
if,2
are,5
familiar,1
with,3
appliances,2
so,1
I,1
ll,1
address,1
the,7
last,1
part,1
of,5
correspondence,1
first,1
We,1
do,2
have,3
an,3
allowance,3
50,1
dryers,2
converting,1
from,1
electric,2
to,3
However,1
this,1
does,1
require,1
that,1
existing,1
water,2
heater,2
or,1
install,1
a,1
at,1
same,1
time,1
dryer,1
is,1
installed,1
latter,1
would,1
qualify,1
additional,2
For,2
details,1
please,3
see,1
our,4
allowances,1
and,5
requirements,1
which,1
also,1
on,1
web,1
site,1
As,1
probably,1
aware,1
generally,1
more,1
cost,1
effective,1
operationally,1
than,1
comparable,1
models,1
especially,1
when,1
combined,1
multiple,1
pieces,1
equipment,1
information,1
efficiency,1
ratings,1
specific,1
washers,1
contact,2
Amy,1
Carpus,1
in,2
Conservation,1
Services,1
Department,1
393,1
1450,1
make,1
model,1
s,1
units,1
interested,1
she,1
will,1
be,1
able,1
assist,1
again,1
using,1
online,1
If,1
questions,1
not,1
hesitate,1
me,1
Mike,1
Brown,1
Gainesville,1
Regional,1
Utilities,1
