,frequency
urlLink,1
THE,1
FOUR,1
EMOTIONAL,1
STAGES,1
OF,1
DIVORCE,1
WORK,1
by,5
Phil,1
Rich,2
Ed,1
D,4
MSW,1
The,12
End,1
of,38
Marriage,1
hallmark,1
the,52
marriage,6
is,13
expectation,1
that,10
this,6
to,19
be,7
a,10
permanent,1
relationship,1
in,9
which,2
both,4
partners,2
commit,1
their,14
lives,5
one,4
another,2
joining,1
individual,1
together,1
mutual,1
co,1
existence,1
Accordingly,1
breakup,1
can,4
devastating,1
and,48
life,9
disrupting,1
Divorce,7
may,1
sensible,1
route,1
go,2
for,3
any,2
number,1
reasons,1
but,1
nevertheless,1
unless,1
completely,1
amicable,1
acceptable,1
parties,1
divorce,19
represents,3
ending,1
romance,1
failure,1
partnership,1
bound,1
have,1
an,2
emotional,10
impact,1
on,3
or,3
Regardless,1
circumstances,1
conditions,1
led,1
up,2
it,3
clear,1
basis,1
work,5
idea,2
break,1
loss,3
composed,1
technical,2
aspects,3
will,1
taken,1
care,1
way,2
legal,3
process,4
But,2
other,2
side,2
deals,1
with,8
aftermath,1
This,2
dealing,1
working,2
through,7
sense,1
emotions,4
situations,1
caused,1
Emotional,1
Stages,1
Although,1
every,1
highly,1
personal,3
unique,1
help,4
divorcees,4
know,1
they,3
re,2
not,1
alone,1
confusion,1
despair,1
things,2
improve,1
over,2
time,3
At,1
difficult,1
understand,2
what,3
s,2
typical,1
expect,1
from,3
as,8
progresses,1
final,3
decree,1
beyond,1
sort,1
practical,5
issues,5
likely,1
experience,1
order,1
These,1
are,3
stages,3
sequence,1
feelings,2
typically,2
necessary,1
include,3
facing,1
reality,4
painful,1
experiencing,1
full,2
range,1
associated,1
breakdown,1
coping,1
situational,1
lifestyle,1
changes,3
resulting,1
adapting,1
change,1
reconfiguring,1
Stage,4
1,1
Shock,1
Disbelief,1
begins,1
soon,1
separation,1
introduced,1
sinks,1
It,2
involves,2
four,1
major,1
tasks,6
worked,2
Facing,1
Self,1
esteem,1
inadequacy,1
Telling,1
world,1
Support,1
2,1
Initial,1
Adjustment,1
ability,1
people,5
actively,1
adapt,1
new,3
phase,2
primary,1
goal,1
stage,6
adaptation,1
mustering,1
resources,1
needed,1
manage,1
many,3
faced,1
during,2
Functioning,1
responsibility,2
Practical,1
Legal,1
Matters,1
Managing,2
3,1
Active,1
Re,3
organization,1
centers,1
around,1
how,1
live,1
cope,1
being,1
suddenly,1
single,1
Major,1
dealt,1
style,1
affairs,1
defining,1
relationships,2
Reconstructing,1
values,1
beliefs,1
Concluding,1
procedures,1
4,1
Life,1
formation,1
steps,1
readers,1
pass,1
During,1
deal,1
choices,1
involved,1
move,1
Constructing,1
New,5
interests,1
Personal,1
Accepting,1
your,1
Summary,1
Conclusion,1
first,1
passes,1
most,4
quickly,1
quick,1
hit,1
sometimes,1
numbing,1
shock,1
wave,1
realize,1
second,1
third,1
active,3
represent,1
bulk,1
covering,1
after,1
moving,2
far,1
away,1
into,1
really,1
has,1
no,1
formal,1
end,1
marked,1
acceptance,1
resolution,1
Of,1
course,1
various,1
each,1
overlap,1
And,1
aren,1
t,1
clean,1
neat,1
checking,1
off,1
task,1
then,1
next,1
helping,1
recognize,1
these,1
enormously,1
useful,1
them,2
see,1
path,1
lies,1
ahead,1
References,1
Burns,1
B,1
Whiteman,1
T,1
1992,2
Fresh,1
Start,1
Recovery,1
Workbook,2
Nashville,1
TN,1
Thomas,1
Nelson,1
Engel,1
M,1
L,5
Gould,1
Decisions,1
York,4
McGraw,1
Hill,1
Kramer,1
P,2
1997,2
Should,1
You,1
Leave,1
Scribner,1
Schwartz,2
1999,1
Healing,1
Journey,1
Through,1
Your,1
Journal,1
Understanding,1
Renewal,1
John,2
Wiley,2
Kaslow,1
F,1
W,1
Painful,1
Partings,1
Its,1
Aftermath,1
