,frequency
Current,1
Phase,1
Full,7
Moon,11
in,12
Gemini,17
Begins,1
Thursday,1
2,1
11,1
PM,1
EST,2
Ends,1
Monday,1
7,1
19,1
AM,1
The,19
is,22
the,110
time,3
when,1
reflects,1
greatest,1
amount,1
of,51
Sun,3
s,2
light,4
Earth,1
astronomically,1
poised,1
between,1
and,49
enabling,1
us,5
to,32
see,1
two,2
different,2
sides,2
ourselves,4
clearly,1
something,1
energy,3
adept,1
at,6
spotting,1
opposing,1
but,6
equally,1
pulling,1
gravitational,1
pull,1
also,2
reveals,1
a,12
tension,2
within,2
polarity,2
Sagittarius,5
sign,8
that,7
opposite,2
it,2
zodiac,1
Since,1
we,11
are,8
lunar,1
cycle,1
may,2
be,5
more,2
pronounced,1
By,1
providing,1
enough,1
distance,1
give,1
an,3
objective,1
view,1
how,1
relate,1
others,3
works,1
integrate,1
harmonize,1
contradictions,1
This,2
opening,1
increased,1
awareness,2
traditionally,1
makes,1
beneficial,1
for,9
meditation,2
on,6
personal,1
worldwide,1
issues,1
There,1
literally,1
electrical,1
build,1
up,1
before,3
release,1
just,1
after,3
peak,1
At,1
seeds,1
sown,2
last,1
New,1
ready,1
harvested,1
used,1
reap,1
what,1
ve,1
Working,1
out,2
through,4
physical,1
body,3
can,1
grounding,1
centering,1
About,1
Ruler,1
Mercury,1
Astrological,1
Symbol,1
Twins,2
Like,1
their,1
twins,1
they,3
often,1
have,3
dual,1
nature,3
skilled,1
seeing,1
both,2
problem,1
fickle,1
restless,1
Within,1
Zodiac,1
philosophy,1
While,1
tends,1
one,4
major,1
interest,1
studied,1
deeply,1
people,1
tend,1
many,1
interests,1
study,1
less,1
detail,1
element,1
air,5
Air,2
vital,1
human,2
survival,1
Without,1
would,1
perish,1
power,2
movement,1
freshening,1
intellignce,1
Its,1
invisible,1
yet,1
quite,1
real,1
mixture,1
gases,1
breathe,1
every,3
day,1
three,3
signs,4
Libra,1
Aquarius,1
In,6
astrology,2
stands,3
intellect,1
reason,1
communication,1
quality,2
mutable,3
four,1
Virgo,1
Pisces,2
signifies,2
versatility,1
adaptability,1
openness,1
change,1
flexibility,1
Meditation,1
from,8
urlLink,4
Labours,2
Hercules,17
I,2
recognize,3
my,1
other,2
self,1
while,1
this,2
fades,1
grow,2
glow,2
May,1
21,1
June,1
20,1
full,1
moon,2
series,1
based,1
astrological,3
interpretation,1
twelve,2
labors,1
Greek,1
myth,1
tasks,1
symbolic,1
lessons,1
way,5
selfishness,1
back,3
Heart,1
God,2
As,1
mortals,1
do,1
not,2
exactly,1
know,2
higher,5
worlds,2
path,3
itself,1
knows,1
leads,1
sometimes,1
dramatic,1
experiences,1
our,2
goal,2
So,3
travel,1
until,4
become,3
Aries,2
Taurus,2
further,2
all,3
active,1
work,2
sets,1
standard,1
tone,1
First,1
comes,1
premonition,2
later,1
certain,1
knowledge,2
eventually,1
daily,1
mental,1
control,1
overcome,1
desire,1
everywhere,1
third,1
year,2
called,1
again,1
his,9
own,3
inner,2
go,1
accept,1
next,1
task,2
Go,1
search,5
sacred,2
tree,2
gather,1
golden,2
apples,4
Hesperides,2
Unfold,1
without,3
discouragement,1
deception,1
or,2
too,1
great,2
speed,1
Perseverance,1
holds,1
key,1
appears,1
easy,1
hurries,1
into,2
But,2
garden,1
protected,1
by,4
hundred,1
headed,1
dragon,1
virgins,1
Throughout,1
land,1
passes,1
seeking,1
success,1
He,3
deaf,1
voice,2
blind,2
along,1
From,2
North,1
he,6
turns,4
South,1
wrestles,1
with,7
Antaeus,2
serpent,2
place,1
darkness,1
overcomes,1
him,6
point,1
able,1
lift,1
arms,1
high,2
off,2
ground,1
To,1
West,1
now,1
new,1
courage,1
meets,1
Busiris,2
deceiver,1
son,1
waters,1
who,2
pretends,1
truth,1
alone,1
loves,1
adores,1
follows,1
becomes,1
bound,1
whole,1
Finally,1
inwards,1
realises,1
Truth,1
lies,1
yourself,1
breaks,2
bonds,1
continues,1
wiser,1
than,1
A,1
pain,2
filled,1
screem,1
intrudes,1
ear,1
Prometheus,4
chained,1
upon,2
rock,1
liver,1
being,1
hacked,1
vultures,1
thus,1
slowly,1
killing,1
binding,1
chain,1
frees,1
und,1
looks,1
recovers,1
wounds,1
With,1
much,1
loss,1
mountains,1
East,1
meeting,1
Atlas,5
carrying,1
load,3
watches,1
gauges,1
measure,1
forgets,1
about,1
decides,1
aid,1
giant,1
delay,1
shoulders,1
burden,1
brother,1
unto,1
lo,1
rolls,1
free,1
likewise,1
loving,2
hands,1
gets,1
long,1
awaited,1
Three,1
sisters,2
Aegle,1
Erythea,1
Hesperis,1
await,1
declaring,1
Way,2
always,1
marked,1
service,1
Deed,1
love,1
signposts,1
story,1
ends,1
returning,1
those,1
follow,1
consists,1
pillars,1
connected,1
half,1
shaped,1
arch,1
One,1
pillar,2
open,1
bottom,1
top,1
They,1
symbolise,1
lower,3
feeling,1
mind,3
Self,5
atma,1
buddhi,1
manas,1
pairs,1
opposites,1
reveal,1
themselves,1
especially,1
forceful,1
striving,1
upwards,1
form,1
aspect,1
drawing,1
downwards,1
Five,1
tests,1
has,3
pass,1
fruits,1
Wisdom,1
Sincerity,1
Alertness,1
Persistence,1
Unfolding,1
Power,1
finally,1
selfless,1
Service,1
learn,1
presence,1
Higher,1
beginning,1
aware,1
does,1
hear,1
sees,1
some,1
danger,1
assumptions,1
beliefs,1
transformed,1
experience,1
escape,1
bondage,1
symbolizes,1
freedom,1
readiness,1
carry,1
Weight,1
World,1
Both,1
witnesses,1
Loving,1
compassion,1
born,1
right,1
thinking,1
will,2
lead,1
towards,1
keynote,1
feelings,1
symbolized,1
fade,1
submerged,1
which,1
then,1
Sources,1
ArtCharts,1
http,1
www,1
geocities,1
com,1
SouthBeach,1
Tidepool,1
4036,1
gemini,1
html,1
