,frequency
urlLink,1
Your,1
Tarot,1
com,1
Daily,1
Horoscope,1
for,1
Cancer,1
You,1
are,1
trying,1
to,2
put,1
your,3
feelings,2
back,1
into,1
the,3
box,1
from,2
which,1
they,1
have,2
escaped,1
Just,1
as,2
you,2
think,1
it,1
s,1
all,2
under,1
control,1
something,1
rattles,1
cage,1
and,1
those,1
get,1
out,1
once,1
again,1
Perhaps,1
struggle,1
is,1
not,1
about,2
putting,1
emotions,1
away,1
but,1
instead,1
accepting,1
them,1
a,1
message,1
subconscious,1
And,1
remember,1
don,1
t,1
act,1
on,1
every,1
emotion,1
Easier,1
said,1
than,1
done,1
