,frequency
PRINCESS,1
Sometimes,1
she,2
can,2
sweep,1
the,5
pages,1
into,3
nothingness,1
an,1
eight,1
ball,1
corner,1
pocket,1
stuffed,1
with,3
her,3
short,2
attention,1
span,1
for,2
present,1
details,1
The,1
past,1
ruffles,1
its,1
feathers,1
against,1
girl,1
a,3
lifetime,1
still,2
of,3
boxes,1
filled,1
collections,1
what,1
not,1
be,1
bought,1
Dreams,1
may,2
come,1
and,2
call,1
names,1
out,1
darkness,1
like,1
memory,1
cares,1
enough,1
to,2
answer,1
at,2
all,1
She,1
asks,1
if,1
true,1
love,1
is,2
as,3
real,1
stars,1
or,1
bright,1
planetary,1
nebulae,1
fuel,1
that,1
burns,1
tell,1
us,1
something,1
about,1
our,1
own,1
origins,1
All,1
remembered,1
once,1
it,1
sudden,1
dissapoint,1
ment,1
gravity,1
single,1
misplaced,1
thought,1
found,1
searching,1
pea,1
under,1
matress,1
