,frequency
urlLink,1
LUSCIOUS,1
JACKSON,1
LYRICS,1
Soothe,1
Yourself,1
i,15
ve,3
been,3
soother,1
and,6
wife,1
tried,2
to,5
solve,1
your,2
life,1
stuck,1
with,2
you,2
through,1
rainy,1
days,1
thought,2
that,3
it,5
was,1
just,1
a,3
phase,1
when,1
the,9
sun,1
came,1
out,1
get,1
away,1
fly,1
but,1
needs,1
we,1
had,1
did,1
not,1
subside,1
what,2
way,1
for,1
our,1
love,1
die,1
hiding,1
behind,1
my,2
gifts,1
give,2
until,1
starts,1
rip,1
skin,1
is,2
torn,1
where,1
begin,1
thread,1
worn,1
might,2
in,1
underneath,1
all,5
feel,1
eyes,1
of,1
things,1
despise,1
can,2
fight,2
them,2
off,2
sticks,1
stones,1
alone,1
soothe,3
yourself,2
x3,1
now,1
m,1
thinking,1
about,1
own,1
advice,1
if,1
could,1
myself,1
be,1
nice,1
callin,1
names,1
ain,1
t,1
same,1
no,1
more,1
took,1
look,1
locked,1
door,1
memories,1
cold,1
hard,1
facts,1
watched,1
come,1
rushing,1
back,1
times,2
told,1
do,1
knew,1
x4,1
