,frequency
urlLink,1
About,1
StoryCorps,3
is,1
a,3
national,1
project,1
to,11
instruct,1
and,2
inspire,1
people,1
record,2
each,1
others,1
stories,1
in,3
sound,1
We,4
re,1
here,1
help,3
you,5
interview,3
your,5
grandmother,1
uncle,1
the,16
lady,1
who,1
s,1
worked,1
at,3
luncheonette,1
down,1
block,1
for,2
as,4
long,2
can,2
rememberanyone,1
whose,1
story,2
want,2
hear,1
preserve,1
To,1
start,1
we,4
ll,5
be,1
building,1
soundproof,1
recording,2
booths,1
across,1
country,1
called,1
StoryBooths,2
Our,1
first,1
one,1
opens,1
Grand,1
Central,1
Terminal,1
New,1
York,1
City,1
on,4
October,1
23,1
2003,1
You,1
use,1
these,1
broadcast,1
quality,1
interviews,1
with,1
of,8
trained,1
facilitator,1
ve,1
tried,1
make,2
experience,1
simple,1
possible,1
figure,1
out,1
what,1
questions,1
ask,1
handle,1
all,2
technical,1
aspects,1
At,1
end,1
hour,1
session,1
get,1
copy,1
CD,1
And,1
thanks,1
generous,1
contributions,1
our,1
supporters,1
this,1
costs,1
only,1
10,1
Since,1
sure,1
lives,1
generations,1
come,1
also,1
add,1
Archive,1
housed,1
American,1
Folklife,1
Center,1
Library,2
Congress,2
which,1
hope,1
will,1
become,1
nothing,1
less,1
than,1
an,1
oral,1
history,1
America,1
See,1
press,1
release,1
Web,1
site,1
