,frequency
CONFIDENCE,1
I,16
am,4
water,2
earth,2
My,3
parents,1
were,2
fire,3
and,27
air,5
was,16
pulled,2
from,2
the,16
womb,1
unwilling,1
to,14
face,1
birth,2
canal,1
when,5
another,1
option,1
possible,2
It,1
is,2
always,2
come,2
you,1
now,1
on,1
verge,1
of,8
discovery,1
sails,1
are,1
flowing,1
confident,1
this,4
wind,1
salt,1
canvas,1
blowing,1
filling,1
with,5
colors,1
This,2
confidence,1
like,4
a,9
gift,1
appreciate,1
endure,1
weaving,1
strands,1
into,2
patterns,1
make,2
believe,1
real,1
something,2
warm,1
wear,1
Life,1
came,1
me,4
in,4
summer,1
footy,1
pajamas,1
The,2
fourth,1
generation,1
baby,1
Polish,1
princess,1
at,1
top,1
aluminum,1
siding,1
castle,1
There,1
picnic,1
table,1
back,1
yard,1
And,3
my,6
mother,3
could,1
she,2
them,1
her,3
more,2
by,1
liking,1
enough,1
father,2
over,1
books,2
bad,3
kitchen,1
lighting,1
hook,1
career,1
out,1
place,1
where,1
he,1
too,1
born,1
We,1
fled,1
desert,1
three,1
leaving,1
snows,1
behind,1
oven,1
grandmother,1
used,1
burn,1
children,1
s,1
hands,1
they,1
A,1
new,1
set,1
grandparents,1
welcomed,1
second,1
there,1
kitten,1
for,3
friend,1
soon,1
pool,1
million,1
witches,1
goblins,1
girls,1
who,1
knew,2
magic,1
stayed,1
inside,1
romance,1
novels,1
melon,1
ballers,1
sometimes,1
gin,1
vermouth,1
but,1
perfect,1
coming,1
outside,1
cut,1
up,4
vegetables,1
hours,1
working,1
please,1
palette,1
Dad,1
She,4
role,1
passed,1
through,1
good,2
very,2
horid,1
Sweat,1
off,1
dry,1
heat,1
mirage,1
as,2
waited,1
get,1
home,1
punish,1
done,1
again,1
He,1
tension,1
terror,1
beating,1
having,1
do,1
whatever,1
said,1
or,1
else,1
much,1
remember,1
nothing,1
will,1
page,1
today,1
lifted,1
story,1
giant,1
helium,1
balloon,1
carried,1
stars,1
evening,1
night,1
sunset,1
hits,1
camelback,1
mountain,1
saguaros,1
turn,1
purple,1
goodnight,1
written,1
6,1
10,1
PM,1
Saturday,1
April,1
12,1
2003,1
