,frequency
Current,1
Phase,1
First,2
Quarter,4
in,1
Aquarius,2
Begins,1
Monday,1
12,1
53,1
PM,2
PST,2
Ends,1
Friday,1
2,1
38,1
phases,2
are,2
symbols,1
of,3
crises,1
The,2
has,2
to,3
do,1
with,4
action,1
Last,1
consciousness,1
Now,1
the,7
symbolic,1
new,3
moon,1
seed,1
buds,1
mixes,1
nicely,1
waxing,1
Release,1
anything,1
that,1
is,1
acting,1
as,1
an,1
obstacle,1
implementation,1
your,1
idea,2
If,1
obstacles,1
not,1
dealt,1
growth,1
may,1
be,1
impeded,1
Traditional,1
Aquarian,1
Traits,1
Friendly,1
and,7
humanitarian,1
Honest,1
loyal,1
Original,1
inventive,1
Independent,1
intellectual,1
On,1
dark,1
side,1
Intractable,1
contrary,1
Perverse,1
unpredictable,1
Unemotional,1
detached,1
Sources,1
urlLink,2
Moonsurfing,1
Astrology,1
Online,1
