,frequency
urlLink,1
Installing,1
Love,1
Milpitas,1
Mom,1
s,2
Favorite,1
Jokes,1
CS,14
Rep,14
Can,4
you,15
install,3
LOVE,10
Customer,14
I,16
can,2
do,6
that,9
m,2
not,2
very,1
technical,1
but,6
think,1
am,5
ready,1
to,18
now,4
What,5
first,2
The,2
step,1
is,9
open,1
your,10
HEART,6
Have,1
located,1
ma,4
Yes,6
have,8
there,1
are,5
several,1
programs,4
running,5
right,3
Is,3
it,14
okay,1
while,1
they,2
Let,1
me,2
see,2
PASTHURT,2
EXE,11
LOWESTEEM,2
GRUDGE,3
and,14
RESENTMENT,3
COM,5
No,1
problem,2
will,8
automatically,2
erase,1
from,4
current,1
operating,1
system,2
It,4
may,1
remain,1
in,4
permanent,1
memory,1
no,1
longer,1
disrupt,1
other,3
eventually,1
overwrite,2
with,3
a,3
module,1
of,3
its,2
own,2
called,2
HIGHESTEEM,1
However,1
completely,4
turn,4
off,3
Those,1
prevent,1
being,1
properly,1
installed,3
those,2
don,1
t,2
know,1
how,2
them,2
tell,1
My,2
pleasure,1
Go,1
Start,1
menu,1
invoke,1
FORGIVENESS,1
Do,2
this,2
as,2
many,1
times,1
necessary,1
until,1
been,2
erased,1
Okay,1
done,1
has,2
started,1
installing,1
itself,1
normal,1
You,4
should,4
receive,1
message,4
says,2
reinstall,1
for,2
the,8
life,1
remember,1
only,1
base,1
program,2
need,2
begin,2
connecting,1
HEARTS,2
order,1
get,1
upgrades,1
Oops,1
an,1
error,1
already,1
does,2
say,1
ERROR,1
412,1
PROGRAM,1
NOT,1
RUN,1
ON,1
INTERNAL,1
COMPONENTS,1
mean,1
Don,1
worry,1
common,1
means,2
set,1
up,2
run,2
on,4
external,1
yet,1
one,1
complicated,1
programming,2
things,1
nontechnical,1
terms,1
machine,1
before,2
others,1
So,1
what,1
find,1
directory,2
SELF,1
ACCEPTANCE,1
Excellent,1
getting,1
good,1
at,1
Thank,2
re,1
welcome,1
Click,1
following,1
files,3
then,2
copy,1
MYHEART,1
FORGIVESELF,1
DOC,2
SELFESTEEM,1
TXT,2
REALIZEWORTH,1
GOODNESS,1
any,2
conflicting,1
patching,1
faulty,1
Also,1
delete,1
SELFCRITIC,1
all,2
directories,1
empty,1
recycle,1
bin,1
afterwards,1
make,1
sure,2
gone,1
never,1
comes,1
back,2
Got,1
Hey,1
filling,1
really,2
neat,2
SMILE,1
MPG,1
playing,1
my,2
monitor,1
shows,1
WARMTH,1
PEACE,1
CONTENTMENT,1
copying,1
themselves,1
over,1
Then,1
be,1
able,1
handle,1
here,1
One,1
more,1
thing,1
go,1
freeware,1
Be,1
give,1
various,1
modules,2
everybody,1
meet,1
They,1
share,1
people,1
return,1
some,1
help,1
