,frequency
urlLink,2
From,1
the,8
College,1
of,13
Christ,1
Consciousness,1
ABOUT,1
FEAR,1
There,2
are,6
3,2
universal,1
fears,1
1,1
abandonment,1
2,1
not,2
feeling,1
worthy,1
or,2
good,1
enough,1
loss,1
trust,1
which,1
fear,4
surrender,1
Any,1
time,1
there,1
is,3
a,5
it,3
will,5
fall,1
into,1
one,2
more,1
these,2
categories,1
Each,1
us,1
born,1
with,1
three,1
being,2
our,2
core,2
lesson,1
to,6
master,1
in,5
this,2
lifetime,1
All,1
issues,1
no,2
matter,2
what,1
they,2
and,6
how,2
came,1
about,1
related,1
can,3
be,2
traced,1
back,1
I,6
continue,1
create,2
same,1
kind,1
situations,1
keep,2
myself,2
judgement,1
reinforce,1
lower,1
vibrational,1
state,1
thinking,2
that,2
s,2
someone,1
else,1
fault,1
perception,2
victimized,1
until,1
resolve,1
my,2
own,1
program,1
learn,1
new,2
way,2
Fear,1
only,1
mask,1
true,1
desire,1
This,1
belief,1
system,1
kicks,1
ass,1
all,1
kinds,1
exercises,1
on,2
web,1
site,1
get,1
over,1
yourself,1
reality,1
you,3
want,1
cheesy,1
so,1
many,1
self,1
help,1
shmoes,1
doing,1
but,1
straight,1
forward,1
manner,1
makes,1
sense,1
practiced,1
created,1
an,1
Excel,1
spreadsheet,1
use,1
for,1
Examining,1
Your,1
Fears,1
exercise,1
download,1
if,1
interested,1
It,1
really,1
helped,1
me,1
hs,1
