,frequency
urlLink,1
Coming,1
Nov,1
8,1
Second,1
Total,1
Lunar,1
Eclipse,1
of,14
2003,2
Skywatchers,1
across,2
most,3
the,9
Americas,1
as,4
well,2
much,2
Europe,2
and,4
Africa,2
will,4
have,1
their,1
second,1
opportunity,1
in,1
to,5
view,1
one,1
nature,1
s,3
beautiful,1
spectacles,1
A,2
total,2
eclipse,3
Moon,4
Weather,1
permitting,1
phase,1
November,1
be,1
visible,1
North,1
America,2
all,2
South,1
western,1
half,1
Asia,1
That,1
a,1
potential,1
viewing,1
audience,1
nearly,1
3,2
billion,1
people,1
The,2
noticeable,1
part,1
this,1
come,1
when,1
begins,1
enter,1
Earths,1
umbra,2
small,1
scallop,1
darkness,1
begin,1
appear,1
on,1
left,1
edge,1
at,1
6,1
32,1
p,1
m,1
EST,1
is,1
expected,1
take,1
hours,1
33,1
minutes,1
completely,1
pass,1
through,1
