,frequency
urlLink,1
The,2
Transformation,1
Tarot,1
A,1
king,1
went,1
into,1
his,2
garden,2
and,7
found,3
wilted,1
dying,4
trees,1
shrubs,1
flowers,1
oak,2
said,1
it,8
was,5
because,5
could,3
not,9
be,10
tall,1
like,3
the,15
pine,2
Turning,1
to,16
he,7
drooping,1
unable,1
bear,1
grapes,1
vine,3
And,3
blossom,1
rose,3
He,3
Heart,2
s,5
ease,2
blooming,1
as,6
fresh,1
ever,1
Upon,1
inquiry,1
received,1
this,2
reply,1
I,7
took,1
for,1
granted,1
that,9
when,1
you,22
planted,2
me,2
wanted,3
If,2
had,1
desired,1
an,1
a,4
or,3
would,4
have,8
them,1
So,1
thought,1
since,1
put,1
here,5
should,1
do,1
best,2
can,7
what,3
want,1
nothing,1
but,1
am,2
trying,2
of,2
my,1
ability,1
You,8
are,6
existence,3
needs,1
Otherwise,1
somebody,3
else,6
been,3
helped,1
created,2
fulfilling,1
something,3
very,2
essential,1
fundamental,1
God,1
Buddha,4
produced,3
many,1
Buddhas,1
only,2
one,1
enough,1
satisfied,2
heart,1
desire,1
utterly,1
Since,1
then,1
has,5
another,2
Christ,2
instead,1
Just,2
think,1
respect,1
universe,1
given,1
chosen,1
Krishna,1
will,2
needed,1
more,2
why,1
fit,1
now,1
Their,1
work,1
is,9
done,1
they,4
contributed,1
their,1
fragrance,2
Now,1
contribute,1
your,1
But,1
moralists,1
puritans,1
priests,1
go,2
on,2
teaching,1
driving,1
crazy,2
They,2
say,2
Become,1
lotus,2
What,1
doing,1
become,1
drive,1
whole,1
everything,1
starts,1
nobody,1
anybody,2
possible,1
That,1
happened,1
humanity,1
Everybody,1
pretending,2
Authenticity,1
lost,2
truth,1
everybody,1
show,1
look,1
at,1
yourself,3
there,3
no,2
other,1
way,1
never,1
possibility,1
remain,1
enjoy,1
bloom,1
wither,1
away,1
if,1
condemn,1
