,frequency
urlLink,1
EU,2
NATO,1
Throw,1
New,1
Lifeline,1
to,5
Macedonia,4
Talks,1
Macedonian,2
President,1
Boris,1
Trajkovski,2
said,3
talks,2
between,2
leaders,1
of,4
mainstream,1
and,3
ethnic,2
Albanian,3
political,1
parties,1
mediated,1
by,1
special,1
U,1
S,1
peace,1
envoys,1
would,1
resume,1
in,6
Tetovo,3
But,1
he,1
gave,1
no,2
exact,1
timeframe,1
for,2
resuming,1
dialogue,1
the,3
city,1
where,1
fierce,1
three,1
day,2
battles,1
this,1
week,1
NLA,1
government,1
troops,1
ruined,1
a,5
15,1
truce,1
One,1
civilian,1
was,1
shot,1
dead,1
there,1
on,1
Thursday,1
local,1
police,1
but,2
details,1
were,1
immediately,1
available,1
is,1
kind,1
melting,1
pot,1
We,1
are,1
going,1
defend,1
all,1
those,1
achievements,1
reference,1
previous,1
round,1
which,1
had,1
made,1
some,2
progress,1
stalled,1
over,1
whether,1
should,1
become,1
an,1
official,1
language,1
parts,1
The,1
West,1
has,1
taken,1
lead,1
role,1
trying,1
prevent,1
five,1
month,1
old,1
rebellion,1
from,1
becoming,1
another,1
Balkan,1
war,1
