,frequency
STILL,1
NOT,1
COMING,1
BACK,1
I,8
could,1
probably,1
stay,1
awake,1
for,1
the,3
rest,2
of,7
my,3
life,1
in,1
frenzied,1
marathon,1
poetry,1
writing,1
It,1
started,1
as,4
a,3
tickle,1
or,1
gash,1
felt,1
after,1
purging,1
home,1
your,2
wood,1
Big,1
trash,1
day,1
is,1
coming,1
to,5
take,3
away,2
you,11
and,1
returned,1
all,2
memories,1
before,1
asking,2
please,1
go,2
will,2
never,4
do,2
And,1
boast,1
pain,1
can,1
only,1
imagine,1
what,2
fears,1
hold,1
drive,1
again,1
always,1
turning,1
back,1
me,5
into,1
arms,1
You,2
apologized,1
when,1
we,1
parted,1
from,1
our,1
embrace,1
this,1
afternoon,1
am,2
sorry,1
not,2
need,1
assured,1
let,1
knew,1
that,2
asked,1
was,2
keep,1
holding,1
just,1
little,1
longer,1
but,1
knowing,1
worth,1
written,1
8,1
4,2
03,1
25am,1
