,frequency
Current,1
Phase,1
Balsamic,2
in,2
Sagittarius,3
Tuesday,1
12,1
07,1
AM,1
PST,1
Jupiter,2
23,1
until,1
Saturday,1
This,1
is,5
the,10
Dark,1
of,5
Moon,3
NO,1
MAGICK,1
IS,1
TO,1
BE,1
DONE,1
It,3
transition,1
death,1
old,1
and,7
rebirth,1
new,1
a,4
time,3
to,3
draw,1
back,1
for,1
reorganization,1
reflection,1
The,1
study,1
good,1
help,1
with,1
addictions,1
change,1
divorce,1
removal,1
separation,1
enemies,1
justice,1
obstacles,1
quarrels,1
stop,1
stalkers,1
theft,1
About,1
Keyword,1
I,1
aspire,1
ruled,1
by,1
fire,1
sign,1
mutable,1
masculine,1
rules,2
thighs,1
hips,1
buttocks,1
inspiring,1
jovial,1
lucky,1
encourages,1
flights,1
imagination,1
religion,1
active,1
frank,1
spiritual,1
philosopher,1
higher,3
minded,1
education,2
always,1
searching,1
energy,1
adaptable,1
Magick,1
laws,1
long,1
distance,1
travel,1
metaphysical,1
Source,1
urlLink,1
Cycles,1
Phases,1
