,frequency
EXPLAINING,1
THE,1
SILENCE,1
Three,1
months,1
passed,1
with,1
nothing,1
much,1
to,3
say,2
being,1
on,1
a,1
power,1
high,1
and,8
all,2
or,1
at,1
least,1
thinking,1
I,8
was,4
but,2
the,4
pixie,1
dust,1
washed,1
off,1
in,2
turpentine,1
bath,1
that,3
left,1
dirty,1
feet,1
The,1
answer,1
not,2
found,1
question,1
must,1
have,1
been,1
asking,1
wrong,1
how,1
could,2
know,1
what,2
made,1
me,1
think,1
maybe,1
if,1
about,1
should,1
shouldn,1
t,1
would,1
trust,2
myself,1
even,1
universe,1
as,1
though,1
stars,1
represent,1
some,1
kind,1
of,1
why,1
enough,1
make,1
us,1
feel,1
small,1
no,1
again,1
this,2
time,1
running,1
jump,1
slide,1
your,1
whole,1
life,1
is,1
dive,1
down,2
deep,1
