,frequency
Survival,1
Instinct,1
Mirrors,1
crack,1
smashed,1
to,3
pieces,1
shards,1
falling,1
easily,1
reflecting,1
a,2
face,1
still,1
used,1
control,1
eyes,1
snapping,1
up,1
love,1
like,1
paper,1
fan,1
Someone,2
is,3
sad,1
unsure,1
The,1
fit,1
just,1
not,1
there,1
yet,1
There,2
are,2
many,1
layers,1
digest,1
and,4
unfold,1
into,1
words,1
worlds,1
waiting,2
exploration,1
colors,1
lights,1
music,1
gumball,1
bliss,1
graffiti,1
sunsets,1
the,2
answer,1
we,1
ve,1
all,1
been,1
for,1
waving,1
from,1
next,1
balcony,1
over,1
