,frequency
To,1
heatherti,1
mindspring,1
com,3
Subject,1
Astrology,2
daily,1
horoscope,2
From,1
Daily,1
Horoscope,1
Date,1
Sat,1
31,2
May,2
2003,1
05,1
07,1
34,1
0800,1
Greetings,1
Here,1
is,1
your,2
for,1
Saturday,1
As,1
long,1
as,1
you,3
tone,2
down,1
offensive,1
strategy,1
defense,1
might,1
not,1
actually,1
be,1
necessary,1
Help,1
a,1
struggling,1
person,2
move,1
toward,1
closure,1
A,1
selfless,1
gesture,1
proves,1
that,2
can,1
make,1
relevant,1
contributions,1
For,1
Virgo,1
Of,1
course,1
the,4
problem,1
looks,1
huge,1
to,3
s,2
going,1
through,1
it,1
Peel,1
back,1
urgent,1
see,1
if,1
facts,1
warrant,1
this,1
degree,1
of,1
alarm,1
There,1
no,1
law,1
requiring,1
take,1
on,1
extra,1
work,1
