,frequency
The,3
history,1
of,15
seitans,1
origin,1
and,20
different,2
ways,1
to,15
prepare,1
the,21
seitan,7
Seitan,4
say,1
TAHN,1
is,20
made,1
from,4
gluten,10
Gluten,2
name,1
insoluble,1
protein,11
in,18
wheat,4
probably,2
most,2
familiar,1
as,10
stuff,1
that,7
makes,1
bread,2
dough,4
elastic,1
Known,1
Japan,2
kofu,1
China,2
meat,5
here,1
U,1
S,1
a,16
low,2
fat,4
high,4
firm,2
textured,1
substitute,2
It,5
has,4
been,2
eaten,1
Korea,1
Russia,1
Middle,1
East,1
for,6
thousands,1
years,1
often,3
referred,1
Chinese,2
restaurants,2
Buddha,1
food,3
because,3
claim,1
it,8
was,1
developed,1
by,3
pacifist,1
vegetarian,1
Buddhist,1
monks,1
rich,1
tradition,1
well,4
nutrition,1
As,2
source,1
contains,4
about,3
31,1
grams,3
per,4
4,2
ounce,3
serving,3
which,2
means,1
more,1
plant,1
than,3
tofu,1
provides,1
modest,1
amount,3
B,1
vitamins,1
iron,1
no,1
saturated,3
or,7
cholesterol,1
A,1
3,1
1,2
2,2
100,2
gram,1
118,1
calories,2
18,1
less,1
unsaturated,1
same,1
beef,1
207,1
32,1
fats,2
recent,1
studies,2
have,2
shown,1
our,2
need,1
much,2
lower,1
previously,2
believed,1
any,1
opportunity,1
remove,1
diet,1
would,1
be,4
an,1
excellent,1
improvement,1
Another,1
dietary,1
benefit,1
its,1
sodium,2
content,2
although,1
cooking,2
adds,1
considerably,1
this,2
Most,1
commercially,1
prepared,1
considerable,1
up,1
mg,1
If,1
you,2
choose,1
deep,2
fry,2
will,2
jump,1
virtually,1
zero,1
number,1
whatever,1
oil,1
absorbed,1
at,3
5,1
teaspoon,1
Moreover,1
like,1
grain,2
foods,1
general,1
incomplete,1
needs,1
complemented,1
with,6
other,2
sources,1
such,1
dairy,1
legumes,1
Many,1
vegetarians,3
first,1
experience,1
eating,1
Vietnamese,1
where,1
s,4
called,3
mock,2
duck,1
chicken,1
etc,1
When,2
sold,1
little,1
tubs,1
natural,1
health,1
store,1
again,1
marketing,1
showed,1
word,1
lacks,1
consumer,1
appeal,1
stands,1
many,3
recipes,1
works,2
so,2
some,1
prefer,1
avoid,1
texture,6
too,1
meaty,1
However,1
others,1
who,1
are,1
trying,1
make,1
transition,1
meatless,1
lifestyle,1
Wheat,1
Meat,1
growing,1
popularity,1
usually,1
starts,1
out,1
whole,1
flour,1
mixed,1
water,3
obtain,1
consistency,1
kneaded,1
vigorously,1
10,1
minutes,1
then,2
left,2
rest,1
can,2
develop,1
Next,1
rinsed,1
times,1
under,1
running,1
removes,1
starch,2
bran,1
What,1
stringy,1
mass,1
cooked,4
soy,1
sauce,2
spices,1
added,1
flavoring,1
including,1
sea,1
vegetable,1
kombu,2
raw,1
washed,1
away,1
broth,1
shoyu,1
ginger,1
now,1
ready,1
used,2
casseroles,1
stir,1
sandwiches,1
enchiladas,1
just,1
anywhere,1
might,1
oven,1
braised,1
baked,1
pressure,1
cooker,1
fried,1
Each,1
version,1
yields,1
Oven,1
braising,1
produces,2
similar,1
chewy,1
derived,1
simmering,1
Baking,1
light,1
when,2
grinding,1
grating,1
Pressure,1
produce,1
softer,1
Fried,1
turns,1
soft,1
slippery,1
absorbs,1
flavor,1
Written,1
Alyx,1
Sandborg,1
Copyright,1
2002,1
PageWise,1
Inc,1
