,frequency
urlLink,1
Turkish,3
women,2
get,1
equal,2
rights,1
The,1
new,2
year,1
sees,1
the,11
start,1
of,7
a,3
quiet,1
revolution,1
in,3
society,1
when,1
centuries,1
legally,2
enshrined,1
inequality,1
between,1
sexes,1
are,5
brought,1
to,5
an,2
end,1
From,1
1,1
January,1
men,1
no,3
longer,2
regarded,1
by,3
law,1
as,2
head,1
family,1
These,1
latest,1
measures,1
included,1
sweeping,1
reforms,1
country,1
s,3
civil,1
code,1
described,1
Turkey,1
Justice,1
Minister,1
Hikmet,1
Sami,1
Turk,1
result,1
less,1
than,1
50,1
years,1
hard,1
work,1
Women,1
now,1
allowed,1
take,1
job,1
without,1
first,1
seeking,1
their,2
spouse,1
permission,1
and,1
husbands,1
have,1
right,1
decide,1
unilaterally,1
where,1
couple,1
will,1
live,1
But,1
far,1
most,1
significant,1
element,1
legislation,1
is,1
provision,1
that,1
married,1
entitled,1
share,1
joint,1
assets,1
event,1
divorce,1
