,frequency
He,4
was,3
a,3
really,1
nice,1
old,1
man,1
urlLink,1
Sun,2
Sentinel,2
Obituaries,1
Lewis,2
V,2
Telly,8
long,1
time,1
executive,1
for,1
CADA,2
Venezuelan,1
food,1
chain,1
owned,1
by,2
the,5
Rockefeller,1
family,1
died,1
Monday,1
May,1
17,1
2004,2
most,1
recently,1
known,1
as,1
sidewalk,1
icon,1
in,5
Ft,2
Lauderdale,2
s,1
historic,1
Rio,1
Vista,1
neighborhood,1
age,1
91,1
entertained,1
residents,1
and,11
passersby,1
with,1
stories,1
conversation,1
his,3
own,1
rendition,1
of,5
When,1
You,1
re,1
Smiling,1
Born,1
Pittsburgh,1
PA,1
1913,1
oldest,1
5,3
children,1
born,1
to,6
Italian,1
immigrants,1
Mary,1
William,1
Telli,4
married,1
late,1
wife,1
Betsy,1
Fisher,1
1940,1
Later,1
two,1
moved,1
South,1
Florida,2
then,1
Caracas,1
Venezuela,1
where,1
he,1
headed,1
up,1
Restaurant,1
Bakery,1
Division,1
Supermarkets,1
is,1
survived,1
2,2
sons,1
Bill,1
Louis,1
their,1
wives,1
Susan,1
Sharon,1
respectively,1
also,1
leaves,1
behind,1
sisters,1
Madeline,1
Ramirez,1
Laura,1
Pustelny,1
1,1
brother,1
Emil,1
enjoyed,1
grandchildren,2
8,1
great,1
A,1
private,1
memorial,1
service,1
will,1
be,2
held,1
celebrate,1
life,1
In,1
lieu,1
flowers,1
donations,1
can,1
made,1
Hospice,1
Care,1
Southeast,1
309,1
SE,1
18,1
St,1
FL,1
33316,1
Arrangements,1
entrusted,1
Barbara,1
Falowski,1
Funeral,1
Cremation,1
Services,1
Published,1
on,1
23,1
