,frequency
urlLink,1
Jane,1
Siberry,1
Calling,1
All,1
Angels,1
Lyrics,1
Santa,8
Maria,1
Teresa,1
Anna,1
Susannah,1
Cecilia,1
Copelia,1
Dominica,1
Mary,1
Angelica,1
Frater,2
Achad,1
Pietro,1
Julianus,1
Petronella,1
Santos,1
Miroslaw,1
Vladimir,1
and,11
all,11
the,15
rest,1
a,3
man,1
is,1
placed,1
upon,3
steps,1
baby,1
cries,1
high,1
above,1
church,1
bells,1
start,1
to,1
ring,1
as,3
heaviness,2
body,1
oh,1
settles,1
in,2
somewhere,1
you,9
can,1
hear,1
mother,1
sing,1
then,5
it,6
s,5
one,3
foot,1
other,1
step,1
out,1
onto,1
road,1
how,6
much,2
weight,2
long,1
far,1
many,1
times,1
before,1
too,1
late,1
calling,6
angels,8
walk,2
me,4
through,2
this,5
don,2
t,2
leave,2
alone,2
we,10
re,10
cryin,2
hurtin,2
not,2
sure,2
why,2
every,1
day,1
gaze,1
sunset,1
with,1
such,1
love,1
intensity,1
almost,1
if,3
could,2
only,1
crack,1
code,1
d,2
finally,1
understand,1
what,1
means,1
but,2
do,1
think,1
would,1
trade,1
pain,1
suffering,1
ah,1
miss,1
beauty,1
of,2
light,1
earth,1
sweetness,1
leaving,1
callin,3
tryin,1
hopin,1
lovin,1
cause,1
goes,1
