,frequency
Yahoo,1
Groups,1
Bodhi,1
Mail,1
http,1
groups,1
yahoo,1
com,1
group,1
bodhimail,1
Message,1
1,1
Date,1
Tue,1
07,1
Oct,1
2003,1
14,1
48,1
42,1
0500,1
From,1
SD,1
Subject,1
we,1
donot,1
pray,5
to,29
Buddha,7
save,1
us,3
Develop,1
wisdom,1
overcome,2
Avijjaa,1
By,1
P,1
S,1
Mahawatte,1
Almost,1
all,2
religions,3
in,8
the,25
world,1
except,1
Buddhism,2
have,5
as,6
their,8
foundation,1
a,5
creator,2
God,4
and,20
an,4
immortal,2
soul,3
Let,2
briefly,1
examine,1
core,2
beliefs,1
of,9
few,1
these,3
The,5
belief,2
Hinduism,2
is,13
after,6
death,5
one,3
joins,1
Paramathma,1
They,3
are,5
required,1
utmost,2
Faith,1
Trio,1
Brahma,2
Creator,5
Vishnu,2
Ruler,1
Shiva,2
Destroyer,1
Universe,2
To,1
them,4
Moksya,1
could,1
be,7
achieved,2
only,3
There,1
other,1
gods,1
such,2
Ganapathy,1
Skanda,1
by,5
having,1
faith,4
they,5
can,2
enable,1
find,1
security,1
lead,1
prosperous,1
lives,1
Buddhists,2
too,2
visit,1
Kovils,1
Gods,4
seeking,1
mundane,1
help,2
various,1
day,2
problems,1
But,1
unlike,1
Hindus,1
perform,1
meritorious,2
acts,2
transfer,1
merit,1
thus,1
acquired,1
seek,1
According,1
unable,1
commit,1
themselves,1
said,2
that,8
people,1
out,1
fear,2
due,2
inability,1
understand,1
things,1
really,1
This,2
Avijja,2
nescience,1
or,2
ignorance,1
has,2
taught,2
his,3
disciples,1
how,1
develop,1
Wisdom,1
needed,1
bring,1
end,1
this,2
Almighty,3
Christianity,1
which,3
came,1
long,1
also,3
believes,1
universe,1
expected,1
complete,2
Trinity,1
Father,1
Son,1
Holy,1
Ghost,1
appears,1
some,1
similarity,1
Hindu,1
trio,1
Their,1
Mokshya,3
believe,1
joining,2
with,3
love,1
repenting,1
for,2
sins,1
prayer,1
cannot,1
achieve,1
own,1
efforts,1
Islam,1
requires,1
absolute,1
Allah,1
based,1
on,2
Atma,1
Soul,1
daily,1
so,1
join,1
followers,1
above,1
hold,1
fast,1
there,4
somewhere,1
within,3
want,1
continue,1
exist,2
forever,1
now,1
listen,1
what,1
had,1
say,1
subject,1
A,2
Bhikku,3
once,1
asked,1
Ven,1
Sir,1
case,2
where,2
tormented,2
when,2
something,2
permanent,3
oneself,2
not,2
found,2
Yes,1
man,2
following,1
view,1
Atman,1
I,5
shall,2
abiding,1
everlasting,1
unchanging,1
eternity,1
He,1
hears,1
Thathagatha,1
disciple,1
preaching,1
doctrine,1
aiming,3
at,3
destruction,1
speculative,1
views,1
extinction,1
Thirst,1
Thanha,1
detachment,1
cessation,1
Nirvana,1
Then,1
thinks,1
will,3
annihilated,1
destroyed,1
no,1
more,1
So,1
he,1
mourns,1
worries,1
himself,1
laments,1
weeps,1
beating,1
breasts,1
become,1
bewildered,1
Thus,1
O,1
from,1
What,1
late,1
Dr,1
Walpola,1
Rahula,1
thera,1
