,frequency
Here,1
s,2
a,4
thread,3
from,1
newsgroup,1
Bill,3
posted,1
in,4
I,9
feel,1
like,1
am,8
spying,1
on,1
him,1
but,1
who,1
hasn,1
t,3
googled,1
their,1
friend,1
email,1
address,1
or,1
name,1
before,1
right,1
urlLink,1
Google,1
Groups,1
View,2
Thread,1
poor,5
Message,2
1,1
From,2
SCN,2
User,2
bi627,4
scn,4
org,4
Subject,2
this,1
article,2
only,1
Newsgroups,1
misc,2
invest,1
Date,1
1998,1
09,1
11,1
Hi,2
and,4
returning,2
student,2
don,2
have,2
money,2
hoping,2
someone,2
can,2
help,2
me,2
Jacobs,2
5509,2
20th,2
ave,2
ne,2
seattle,2
wa,2
98105,2
2,1
morgajs,2
my,2
dejanews,2
com,2
Re,1
In,1
wrote,1
Sell,1
your,1
computer,1
Posted,1
via,1
Deja,1
News,1
The,1
Leader,1
Internet,1
Discussion,1
