,frequency
Damn,1
this,3
article,1
is,5
about,1
my,1
friend,1
Bill,2
and,10
his,4
cars,1
urlLink,1
South,1
Seattle,1
Star,1
Heap,1
of,7
the,27
Week,1
Jacobs,9
69,1
Dodge,1
van,10
isn,2
t,7
pretty,1
but,6
in,8
some,1
ways,1
that,7
makes,2
it,20
all,2
better,1
for,6
uses,1
he,14
puts,1
to,8
On,1
a,9
recent,1
sunny,1
afternoon,1
held,1
load,1
llama,2
manure,2
bound,1
vegetable,1
beds,1
at,1
Beacon,1
Hill,1
home,1
slant,2
6,2
engine,4
will,2
install,1
another,1
vehicles,2
63,1
Dart,1
And,4
there,4
was,5
Toyota,2
too,1
partial,1
old,2
Dodges,1
Toyotas,1
He,2
also,1
owns,1
banged,1
up,2
pickup,1
bought,1
50,1
bucks,1
replaced,1
timing,1
chain,1
has,7
since,1
driven,1
truck,2
clear,1
across,1
country,1
The,2
unusual,2
double,1
doors,1
on,2
both,1
sides,1
which,1
loading,1
unloading,1
stuff,1
like,2
engines,1
heck,1
lot,1
easier,1
then,2
are,1
duties,1
served,1
its,1
33,1
years,2
One,1
previous,1
owner,1
made,1
modifications,1
accommodate,1
wheelchair,1
using,1
family,1
member,1
back,4
when,2
new,1
an,2
animal,1
control,1
I,15
don,3
think,3
they,2
called,2
said,8
dog,1
catcher,1
It,4
San,1
Juan,1
Islands,1
s,2
why,1
rust,1
In,1
three,1
or,2
four,1
owned,1
auto,1
mechanic,1
by,1
training,1
rebuilt,4
transmission,1
so,3
much,3
work,2
getting,2
out,3
figured,1
would,2
do,1
m,1
not,1
going,1
tell,1
you,1
how,1
money,1
ve,2
put,2
into,2
did,1
allow,1
sending,1
radiator,2
be,2
re,1
cored,1
set,1
him,1
nearly,1
as,5
paid,2
found,1
Internet,1
This,1
guy,1
wanted,1
400,1
picture,1
looked,2
good,1
got,1
bleep,1
So,1
bargained,1
price,1
down,1
300,1
250,1
have,2
They,1
sell,2
these,1
anymore,1
had,1
who,1
turn,1
34,1
year,1
thinking,1
wrench,1
turning,1
trade,1
know,1
if,1
ll,1
keep,1
doing,1
kind,1
skills,1
make,1
feasible,1
owning,1
operating,1
older,1
than,1
while,1
acknowledges,1
great,1
shape,1
no,2
interest,1
parting,1
with,1
There,1
way,1
could,2
ever,1
get,1
what,1
That,1
certainly,1
sounds,1
healthy,1
admits,1
doesn,2
run,2
well,1
nice,1
say,1
perfect,1
gets,1
job,1
done,1
