,frequency
Tell,1
Ghana,2
Enforce,1
Anti,1
Slavery,1
Laws,1
Five,1
thousand,1
women,1
and,2
children,1
live,1
as,2
Trokosi,4
slaves,1
in,3
the,8
Ewe,1
language,1
means,1
wife,1
of,3
gods,2
According,1
to,5
a,1
religious,1
tradition,1
called,1
ju,2
virgin,1
daughters,1
must,1
be,1
offered,1
fetish,1
priests,1
atonement,1
for,2
sins,1
family,1
members,1
or,2
will,1
bring,1
misfortune,1
even,1
death,1
upon,1
them,1
In,1
1998,1
Ghanaian,2
parliament,1
amended,1
legislation,1
ban,1
practice,1
strengthen,1
punishment,1
offenders,1
however,1
they,1
have,1
done,1
little,1
enforce,1
law,1
Join,1
us,1
pressuring,1
government,1
end,1
enslavement,1
now,1
urlLink,1
Take,1
Action,1
