,frequency
DISSEMINATING,1
ARIES,1
Even,1
though,2
the,11
night,1
fades,1
I,2
hold,1
connection,1
like,2
sunrise,1
sings,1
moon,1
to,8
sleep,1
and,4
drives,1
truth,1
into,2
hiding,1
for,3
memories,1
of,11
future,1
hopes,1
meaning,1
Nothing,1
has,1
come,1
true,1
yet,1
but,1
it,3
doesn,1
t,1
matter,1
As,1
long,1
as,3
there,2
is,3
breath,1
explain,1
similarities,1
shadows,1
passed,1
in,3
misdemeanors,1
youth,1
s,1
lost,1
excuses,1
being,1
someone,1
Regulating,1
behavior,1
completely,1
within,1
rights,1
individual,1
or,4
so,1
law,1
states,1
Guidelines,1
are,5
drawn,2
out,1
poster,1
big,1
glossy,1
matte,1
depending,1
on,1
given,2
day,1
what,1
can,1
be,6
The,2
stand,1
still,1
between,1
answers,1
questions,1
posed,1
swords,1
a,1
fight,1
death,1
ego,1
Not,1
everyone,1
was,1
famous,1
their,1
past,1
lives,1
some,2
us,2
even,1
supposed,1
who,3
we,2
exactly,1
right,1
now,1
regardless,1
likes,1
those,1
that,1
do,1
Those,1
will,1
with,1
always,1
no,1
less,1
worthy,1
lifting,1
up,1
truths,1
known,2
by,2
all,1
remembered,1
burden,1
keeping,1
silent,1
celebrated,1
only,1
at,1
first,1
sign,1
sound,1
And,1
may,1
more,2
than,2
nothing,1
am,1
found,1
here,1
your,1
loss,1
you,1
were,1
me,1
straightening,1
my,2
spine,1
rainbows,1
climb,1
back,1
