,word,stem
0,Ok,Ok
1,light,light
2,urlLink,urllink
3,car,car
4,rental,rental
5,fiasco,fiasco
6,I,I
7,decided,decid
8,add,add
9,coverage,coverag
10,insurance,insur
11,got,got
12,bit,bit
13,curious,curiou
14,rates,rate
15,would,would
16,purchased,purchas
17,different,differ
18,used,use
19,Progressive,progress
20,online,onlin
21,quote,quot
22,service,servic
23,interesting,interest
24,numbers,number
25,Note,note
26,1,1
27,439,439
28,reality,realiti
29,pay,pay
30,half,half
31,For,for
32,comparison,comparison
33,purposes,purpos
34,going,go
35,take,take
36,700,700
37,That,that
38,realistic,realist
39,2003,2003
40,Ford,ford
41,Focus,focu
42,ZX3,zx3
43,SVT,svt
44,Subaru,subaru
45,Impreza,impreza
46,WRX,wrx
47,Sedan,sedan
48,Sport,sport
49,Wagon,wagon
50,2004,2004
51,Mazda,mazda
52,RX,RX
53,8,8
54,Mitsubishi,mitsubishi
55,Lancer,lancer
56,Evolution,evolut
57,Nissan,nissan
58,350z,350z
