,word,lemma
0,urlLink,urllink
1,The,the
2,Lone,lone
3,Dissenter,dissent
4,via,via
5,Page3Girls,page3girl
6,Fifi,fifi
7,Ricky,ricki
8,I,I
9,got,got
10,together,togeth
11,today,today
12,continue,continu
13,debate,debat
14,yesterday,yesterday
15,So,So
16,Republican,republican
17,right,right
18,Me,Me
19,Actually,actual
20,consider,consid
21,conservative,conserv
22,yeah,yeah
23,say,say
24,Maybe,mayb
25,even,even
26,leaning,lean
27,libertarian,libertarian
28,Um,Um
29,sorry,sorri
30,mean,mean
31,liberal,liber
32,No,No
33,Libertarian,libertarian
34,Insert,insert
35,description,descript
36,libertarians,libertarian
37,stance,stanc
38,issue,issu
39,drugs,drug
40,instance,instanc
41,think,think
42,legalized,legal
43,What,what
44,Like,like
45,cocaine,cocain
46,Heroin,heroin
47,That,that
48,sort,sort
49,drug,drug
50,Yes,ye
51,But,but
52,someone,someon
53,ODs,od
54,dies,die
55,Then,then
56,stink,stink
57,Seriously,serious
58,care,care
59,If,If
60,dumb,dumb
61,enough,enough
62,well,well
63,gene,gene
64,pool,pool
65,How,how
66,going,go
67,legalize,legal
68,laugh,laugh
69,people,peopl
70,die,die
71,educate,educ
72,impose,impos
73,high,high
74,taxes,tax
75,Look,look
76,way,way
77,Who,who
78,better,better
79,idea,idea
80,whether,whether
81,government,govern
82,course,cours
83,Are,are
84,crazy,crazi
85,insert,insert
86,sitcom,sitcom
87,track,track
