,word,lemma
0,dev,dev
1,null,null
2,Bring,bring
3,yer,yer
4,dead,dead
5,Microsoft,microsoft
6,Here,here
7,one,one
8,That,that
9,ninepence,ninep
10,NT4,nt4
11,I,I
12,What,what
13,Nothing,noth
14,There,there
15,Ere,ere
16,says,say
17,Yes,ye
18,He,He
19,Well,well
20,soon,soon
21,ill,ill
22,getting,get
23,better,better
24,No,No
25,stone,stone
26,moment,moment
27,take,take
28,like,like
29,It,It
30,regulations,regul
31,want,want
32,go,go
33,cart,cart
34,Oh,Oh
35,baby,babi
36,feel,feel
37,fine,fine
38,favor,favor
39,hang,hang
40,around,around
41,couple,coupl
42,minutes,minut
43,long,long
44,promised,promis
45,Unix,unix
46,They,they
47,lost,lost
48,nine,nine
49,today,today
50,next,next
51,round,round
52,Thursday,thursday
53,think,think
54,walk,walk
55,You,you
56,fooling,fool
57,anyone,anyon
58,know,know
59,Isn,isn
60,anything,anyth
61,could,could
62,happy,happi
63,urlLink,urllink
64,glances,glanc
65,street,street
66,furtively,furtiv
67,silences,silenc
68,WindowsNT4,windowsnt4
69,whack,whack
70,club,club
71,Ah,Ah
72,thank,thank
73,much,much
74,Not,not
75,See,see
