,word,stem
0,urlLink,urllink
1,Regularly,regularli
2,Scheduled,schedul
3,Programs,program
4,Satsang,satsang
5,Saturdays,saturday
6,7,7
7,30,30
8,9,9
9,00,00
10,PM,PM
11,means,mean
12,company,compani
13,Truth,truth
14,These,these
15,programs,program
16,include,includ
17,chanting,chant
18,meditation,medit
19,may,may
20,also,also
21,readings,read
22,speakers,speaker
23,sharing,share
24,experiences,experi
25,Siddha,siddha
26,Yoga,yoga
27,Each,each
28,program,program
29,helps,help
30,us,us
31,teachings,teach
32,daily,daili
33,lives,live
34,I,I
35,went,went
36,tonight,tonight
37,really,realli
38,enjoyed,enjoy
39,The,the
40,people,peopl
41,nice,nice
42,seem,seem
43,happy,happi
44,peace,peac
45,They,they
46,showed,show
47,Gurumayi,gurumayi
48,videotaped,videotap
49,lectures,lectur
50,beautiful,beauti
51,messages,messag
52,stories,stori
53,share,share
54,still,still
55,admittedly,admittedli
56,confused,confus
57,guru,guru
58,idea,idea
59,maybe,mayb
60,many,mani
61,This,thi
62,first,first
63,experience,experi
64,feel,feel
65,connected,connect
66,energy,energi
67,see,see
68,would,would
69,look,look
70,another,anoth
71,like,like
72,woman,woman
73,helm,helm
74,anything,anyth
75,Not,not
76,something,someth
77,religions,religion
78,groove,groov
